有問題的地方
UI_20150317_000021	最有效益的  // Availest 
UI_20150317_000232	{@st56}分數{/}
UI_20150317_000233	{@st56}職業{/}
UI_20150317_000290 {@st42b}只顯示能製作的物品{/}
UI_20150317_000292 {@st43}{s22}分解道具
UI_20150317_000242	{@st43}說明列表{/}
UI_20150317_000243	{@st59}關閉說明列表{/}
UI_20150317_000244	{@st59b}說明列表{nl}{@st59s} - 如果你需要幫助，你隨時都可以來這裡閱讀說明主題。{nl} - 選擇主題來閱讀詳細內容。{/}
UI_20150317_000245	{@st43}{s22}說明{/}
UI_20150317_000248	{@st59}詳細內容{/}
UI_20150317_000256	{@st59}關閉傳送視窗{/}
UI_20150317_000257	{@st59b}傳送{nl}{@st59s} - 可以讓你快速旅行至你已經拜訪過的區域。{nl} - 只要啟用兩個或以上數量的傳送點，就能使用傳送功能。{nl} {/}
UI_20150317_000258	{@st41}目前位置：%s{/}
UI_20150317_000261	希奧利艾 這地方怎麼樣
UI_20150317_000270	{@st59}服裝{/}
UI_20150317_000280	{@st59}搜尋{/}
UI_20150317_000290	{@st42b}只顯示可製作的物品{/}
UI_20150317_000292	{@st43}{s22}分離道具數量
UI_20150317_000294	魔物血量條
UI_20150317_000295	{@st44}獲得道具組{/}
UI_20150317_000297	擊殺數
UI_20150317_000300	加速藥水
UI_20150317_000302	{@st59b}冒險日誌{nl}{@st59s} - 記錄你的冒險歷程{nl} - 取得道具, 擊殺魔物, 製作, 探索地圖, 根據內容完成度而獲得的冒險指數{nl}    冒險指數：所有指數的總和{nl}   成長：每個等級與職業等級各獲得5點{nl}    道具： 裝備：等級X10點；書籍：10點；其他：1點{nl}    魔物：每個魔物10點 (Boss : 50點){nl}    探索地區：每10%獲得1點{nl}    任務：每個任務1點{nl}    成就：各成就不同{nl}    製作 : 10點{nl}    收藏：套組5點；完成收藏45點{nl} - 根據獲得的冒險指數可在城裡的NPC處獲得特殊報酬{/}
UI_20150317_000303	{@sti7}{s22}{ds}成就{/}
UI_20150317_000304	{@st42b}{#22FF22} 前 10% / %s 點{/}
UI_20150317_000306	第 1 名 / %s 點
UI_20150317_000307	第 %s 名
UI_20150317_000309	專業
UI_20150317_000316	{@st41}詳細內容{/}
UI_20150317_000318	{@st59}開始製作道具。{/}
UI_20150317_000323	{@st56}擊中{/}
UI_20150317_000342	{@st41}地圖{/}
UI_20150317_000350	{@st59}設定數量。{/}
UI_20150317_000354	{@st41}建立小地圖{/}
UI_20150317_000360	{@st42b}所需等級{/}
UI_20150317_000361	{@st42b}強化等級{/}
UI_20150317_000380	{@st49}發射攻城器{/}
UI_20150317_000396	{s16}{#FFcc66}{ol}把配方拉進欄位
UI_20150317_000399	%s 資訊
UI_20150317_000400	凱帕或...
UI_20150317_000401	{@st41}{詳細內容}
UI_20150317_000402	{s20}{#050505}魔物 說明內容 魔物 說明內容 魔物 說明內容 魔物 說明內容
UI_20150317_000405	{@st41} 一般擊殺 {/}
UI_20150317_000411	{@st59}關閉死靈之書介面{/}
UI_20150317_000413	召喚：{#ffcc33}%s{/}
UI_20150317_000423	太好了！你的等級提升了。
UI_20150317_000425	{@st64}詳細內容{/}
UI_20150317_000430	{@st42b}相鄰的兩個方向鍵同時按住可以斜角移動{/}
UI_20150317_000432	殺戮魔物工具
UI_20150317_000435	{@st43}GM 設定{/}
UI_20150317_000437	{@st59b}隊伍資訊{nl}{@st59s} - 若要成立隊伍，請點擊下方的「建立隊伍」按鈕。 {nl} - 對其他玩家按右鍵就能發送組隊邀請。{nl} - 可以在設定分頁中調整隊伍設定。{nl} - 可以在公開隊伍列表中搜尋符合條件的隊友。{/}
UI_20150317_000439	{@st41b}隊伍成員{/}
UI_20150317_000441	{@st41b}設定{/}
UI_20150317_000458	{@st41b}建立組隊
UI_20150317_000459	{@st43}公開隊伍列表{/}
UI_20150317_000460	${@st59b}公開組隊列表{nl}{@st59s} - 搜尋你想加入的隊伍。{nl} - 使用條件搜尋來搜尋符合條件的隊伍。{/}
UI_20150317_000462	條件搜尋
UI_20150317_000471	輸入規則名稱
UI_20150317_000472	{Gr gradation1}註冊{/}
UI_20150317_000476	{@st43}同伴資訊
UI_20150317_000477	{@st59b}同伴資訊{nl}{@st59s} - 可以用下面的按鈕將同伴設定為活動模式或休息模式。{nl} - 可以自訂同伴的特性與裝備。{/}
UI_20150317_000478	{@st59}關閉同伴資訊{/}
UI_20150317_000486	{@st59b}同伴列表{nl}{@st59s} - 在列表中點擊同伴檢查詳細內容。{/}
UI_20150317_000489	{@st59}說明{nl} - 閱讀詳細的遊戲資訊及提示。{nl} - 從說明列表中閱讀其他主題{/}
UI_20150317_000490	{@st43}說明{/}
UI_20150317_000491	說明主題
UI_20150317_000494	{@st59}關閉毒鍋介面{/}
UI_20150317_000495	{@st59}Need to write{/}
UI_20150317_000519	${@st59b}任務{nl}{@st59s} - 當你收到新的任務，任務就會顯示在任務追蹤列表。{nl} - 黃色是主線任務, 藍色是支線任務。{nl} - 在角色腳邊會有指標指引你找到任務地點。{nl} - 如果你已經完成任務，「返回」圖示會顯示在你的任務追蹤列表。{nl}    (用退位鍵或滑鼠左鍵就能將你傳回任務NPC身邊) {nl} - 可以在任務名稱前面的方框中打勾或取消打勾，來決定要不要顯示在任務追蹤列表。{/}
UI_20150317_000521	{@st41b}已放棄{/}
UI_20150317_000523	任務完成
UI_20150317_000525	任務進度
UI_20150317_000526	{s18}{ol}任務資訊
UI_20150317_000528	使用任務道具
UI_20150317_000531	{@st43}{s22}任務已完成{/}
UI_20150317_000536	想返回到哪個任務？
UI_20150317_000545	{@st60}遊戲設定{/}
UI_20150317_000547	{@st41}跳過教學{/}
UI_20150317_000553	{@st41b}魔物聚集在城鎮郊區，只有你能解決。
UI_20150317_000554	{@st43}{s22}遊戲設定{/}
UI_20150317_000555	{@sti7}搜尋 Raid 隊伍...{/}
UI_20150317_000556	{@st41b}取消參與
UI_20150317_000557	{@st41b}我來試著解決！
UI_20150317_000558	{@st41b}我覺得這次我幫不上忙...
UI_20150317_000561	{@st41b}增加選擇次數
UI_20150317_000565	{@st59}關閉排名視窗{/}
UI_20150317_000566	{@st41}魔物擊殺 前100名{/}
UI_20150317_000567	{@st41}傷害 前100名{/}
UI_20150317_000568	{@st41]錢錢 前100名{/}
UI_20150317_000569	{@st41}升級 前100名{/}
UI_20150317_000578	{@st59}關閉強化視窗{/}
UI_20150317_000579	{@st41b}要強化 {@sti9}×%s{/} 選擇的道具嗎?{/}
UI_20150317_000586	已穿著裝備
UI_20150317_000596	修理已選擇的裝備。
UI_20150317_000599	{@st41}修理清單{/}
UI_20150317_000602	{@st59}修理目前的設定{/}
UI_20150317_000612	必須擁有此道具。
UI_20150317_000613	休息快捷鍵
UI_20150317_000618	{@st44}道具組已收集齊全！{/}
UI_20150317_000619	請選擇道具
UI_20150317_000623	{@st59}下一頁{/}
UI_20150317_000626	{@st59}清空購物車{/}
UI_20150317_000630	{@st41b}已購買物品{/}
UI_20150317_000631	{@st41b}已售出物品{/}
UI_20150317_000632	{@st41b}交易金額 ▶{/}
UI_20150317_000633	{@st41b}剩餘金額 ▶{/}
UI_20150317_000636	{@st43}總計{/}
UI_20150317_000637	{@st41}交易花費{/}
UI_20150317_000638	{@st41}剩餘金錢{/}
UI_20150317_000639	{@st41}物品已購買{/}
UI_20150317_000649	{@st59b}職業技能{nl}{@st59s}- 隨著職業成長，你會逐漸學到新技能。{nl} - 當你的職業要進階到第二階時，你會有三種進階職業可以挑選。{nl} - 你可以連續三次進階到相同的職業。{nl} - 一旦你進階到其他職業，你就不能反悔。{nl} - 進階之前，你必須消耗掉所有技能點數。{nl} - 你可以選擇央同的職業。{nl}{@st59b}Skills{nl}{@st59s} - 每進階一次，技能等集上限就會再加五等。{nl} - 從導師那邊學到的特性會出現在該技能底下。{/}
UI_20150317_000651	{@st59}確認分配{/}
UI_20150317_000652	牧師
UI_20150317_000653	{@st59}取消分配{/}
UI_20150317_000656	剩餘%s分鐘
UI_20150317_000657	{@st43}姿勢{/}
UI_20150317_000658	{@st59}關閉姿勢視窗{/}
UI_20150317_000659	{@st41}布告欄{/}
UI_20150317_000660	{@st41}交易{/}
UI_20150317_000661	{@st41}社交功能{/}
UI_20150317_000662	{@st41b}撰寫{/}
UI_20150317_000663	{@st41}註冊{/}
UI_20150317_000664	{@st59}註冊文章{/}
UI_20150317_000665	{@st41}開始撰寫我的頁面{/}
UI_20150317_000666	{@st59}發表我的頁面{/}
UI_20150317_000667	{@st59}撰寫問候語{/}
UI_20150317_000668	{@st41b}1. 選單{/}
UI_20150317_000669	{@st41}拜訪{/}
UI_20150317_000670	{@st59}拜訪我的頁面{/}
UI_20150317_000671	{@st41}出售{/}
UI_20150317_000672	{@st59}出售物品{/}
UI_20150317_000673	{@st43}Living{/}
UI_20150317_000674	{@st59}Close living{/}
UI_20150317_000675	{@st41}檢視全部{/}
UI_20150317_000676	{@st41}建立地圖{/}
UI_20150317_000677	{@st41}%s/分 (%s 在手上){/}
UI_20150317_000678	鍵盤戰士
UI_20150317_000679	{@st42}%s{/}{@st42_yellow}等級{/}
UI_20150317_000680	{@st41_yellow}雇用時間
UI_20150317_000681	{@st43}塗鴉{/}
UI_20150317_000682	{@st59}關閉噴霧{/}
UI_20150317_000683	{@st41b}提示：在畫框底下畫一張圖{/}
UI_20150317_000684	{@st41b}顏色{/}
UI_20150317_000685	{@st41b}數量{/}
UI_20150317_000686	{@st41b}筆刷{/}
UI_20150317_000687	{@st43}著色{/}
UI_20150317_000688	{@st59}地板上的畫完成著色。{/}
UI_20150317_000689	{@st41b}{a SAVE_EDIT_SPRAY}保存{/}{/}
UI_20150317_000690	{@st59}保存繪畫{/}
UI_20150317_000691	{@st41b}{a LOAD_EDIT_SPRAY}讀取{/}{/}
UI_20150317_000692	{@st59}讀取你畫的圖。{/}
UI_20150317_000693	{@st59}選擇顏色 1{/}
UI_20150317_000694	{@st59}選擇顏色 2{/}
UI_20150317_000695	{@st59}顏色清單{/}
UI_20150317_000696	{@st59}已選擇的筆刷{/}
UI_20150317_000697	{@st59}筆刷 1{/}
UI_20150317_000698	{@st59}筆刷 2{/}
UI_20150317_000699	{@st59}筆刷 3{/}
UI_20150317_000700	{@st59}筆刷 4{/}
UI_20150317_000701	{@st59}筆刷 5{/}
UI_20150317_000702	{@st59}筆刷 6{/}
UI_20150317_000703	{@st49}表示喜歡{/}
UI_20150317_000704	{s20}{#050505}請輸入作品描述
UI_20150317_000706	{@st41} 隊伍 {/}
UI_20150317_000707	{@st41} 魔物 {/}
UI_20150317_000708	{memo X}{@st41b}{#f0dcaa}剩餘素質點 ▶ {@st46}%s
UI_20150317_000709	{@st59b}角色資訊{nl}{@st59s}- 狀態：隨著等級提升，你會獲得越多素值點數，加強角色的五項素質，會使你的角色更加強大。{nl}- 資訊：依據你的角色素質與裝備，顯示你的角色各項參數。{nl}- 稱號：完成各項成就，就能取得各式各樣的稱號。{nl} {/}
UI_20150317_000712	顯示職業
UI_20150317_000713	顯示角色名稱
UI_20150317_000714	{@st59}修改角色名稱{/}
UI_20150317_000716	{@st59}確認分配{/}
UI_20150317_000717	{@st41b}取消分配
UI_20150317_000720	{@st41_yellow}等級：{@st41}%s{/}
UI_20150317_000722	{@st43}攻擊效果{/}
UI_20150317_000723	{@st43}防禦效果{/}
UI_20150317_000724	{@st43}狀態{/}
UI_20150317_000726	{@st59}角色資訊 (F1){/}
UI_20150317_000728	{@st59}職業&技能 (F3){/}
UI_20150317_000731	{@st59}隊伍 (F6){/}
UI_20150317_000735	{@st59}說明 (F10) {/}
UI_20150317_000736	{@st59}系統選單 (Esc){/}
UI_20150317_000738	說明(F1)
UI_20150317_000739	內容
UI_20150317_000740	檢視詳細內容
UI_20150317_000741	{@st43}遊戲設定{/}
UI_20150317_000742	{@st43}遊戲{/}
UI_20150317_000747	{@st43}解析度{/}
UI_20150317_000748	{@st43}畫質{/}
UI_20150317_000755	{@st43}{b}選擇語言{/}
UI_20150317_000756	{@st59}關閉遊戲設定{/}
UI_20150317_000760	目標Buff視窗
UI_20150317_000761	{@st46}IMC的圖片
UI_20150317_000762	{@st46}%s的圖片
UI_20150317_000763	{@st46}喜歡
UI_20150317_000764	{@st46}舉報
UI_20150317_000766	{@st46}移除圖片
UI_20150317_000769	{@st41} 禮物
UI_20150317_000770	請輸入數量
UI_20150317_000771	{@st53b}%s勝 %s敗
UI_20150317_000772	{@st42}今天的日程表
UI_20150317_000774	{@st53b}禮物已收到：×%s
UI_20150317_000775	{@st43b}發送禮物到 %s{/}
UI_20150317_000776	{@st55_a}下一場比賽
UI_20150317_000777	{@st53}- 點擊名字來旁觀{nl}- 右鍵來發送禮物
UI_20150317_000778	攝影機視角
UI_20150317_000779	{@st55_a}恭喜！
UI_20150317_000780	{@st42}切換攝影機視角
UI_20150317_000781	{@st44}冒險日誌{/}
UI_20150317_000782	{@st59}變更觀看選項{/}
UI_20150317_000783	{@st41} 統計 {/}
UI_20150317_000784	{@st41}製作 {/}
UI_20150317_000785	{@st41} 狩獵 {/}
UI_20150317_000786	{@st41} 說明 {/}
UI_20150317_000787	{@st44}維基頁面{/}
UI_20150317_000788	{@st42}資訊{/}
UI_20150317_000789	{@st42}詳細內容{/}
UI_20150317_000790	{@st42}戰鬥{/}
UI_20150317_000791	{@st42}獲得{/}
UI_20150317_000792	{@st59}關閉頁面{/}
UI_20150317_000796	{@sti8}今日獲得點數：{nl}%s{/}
UI_20150317_000797	{@st41}點數商店
UI_20150317_000798	{@st41}排行
UI_20150317_000800	{@st42}目前紀錄
UI_20150317_000801	{@st41}接收 EXP
UI_20150317_000802	{@st41}PvP頁面
UI_20150317_000803	{@st41}搜尋
UI_20150317_000806	{@st56}技能名稱{/}
UI_20150317_000807	{@st41}確認座標{/}
UI_20150317_000808	{@st41}尋找{/}
UI_20150317_000809	{@st42b}管理魔物重生{/}
UI_20150317_000810	{@st42b}魔物獵表{/}
UI_20150317_000811	{@st42b}建立 UI{/}
UI_20150317_000812	{@st42b}地圖迷霧{/}
UI_20150317_000813	{@st42b}建立地圖{/}
UI_20150317_000814	{@st42b}建立小地圖{/}
UI_20150317_000815	{@st42b}對話{/}
UI_20150317_000816	{@st42b}變更任務報酬{/}
UI_20150317_000817	{@st42b}Group regen{/}
UI_20150317_000818	{@st42b}設定地圖地點{/}
UI_20150317_000819	{@st42b}技能地圖{/}
UI_20150317_000820	{@st42b}活動列表{/}
UI_20150317_000821	{@st42b}確認座標{/}
UI_20150317_000822	{@st42b} 檢查 XAC，紋理路徑{/}
UI_20150317_000823	{@st42b}效能 開/關{/}
UI_20150317_000824	對話列表
UI_20150317_000825	搜尋
UI_20150317_000826	{@st41}預覽{/}
UI_20150317_000827	{@st41}關{/}
UI_20150317_000828	{@st41}移除{/}
UI_20150317_000829	{@st41}全部保存{/}
UI_20150317_000830	{@st41}套用圖片{/}
UI_20150317_000831	{#FFFFFF}{ds}選擇活動
UI_20150317_000832	{#FFFFFF}{ds}編輯活動
UI_20150317_000833	{ol}列表
UI_20150317_000837	{@st59}輸入魔物名稱進行搜尋{/}
UI_20150317_000842	{ol}屬性數值
UI_20150317_000843	職業列表
UI_20150317_000844	套用到XML
UI_20150317_000845	{#FFFFFF}{ds}日誌
UI_20150317_000846	{#FFFFFF}{ds}檢視所有屬性
UI_20150317_000847	輸入搜尋關鍵字
UI_20150317_000848	所有特性數值
UI_20150317_000849	{ol}名稱
UI_20150317_000850	{ol}數值
UI_20150317_000851	流氓
UI_20150317_000852	{ol}修訂版
UI_20150317_000853	{ol}流氓
UI_20150317_000854	職業料表
UI_20150317_000855	XML 轉換
UI_20150317_000856	{ol}職業名稱
UI_20150317_000857	{ol}屬性名稱
UI_20150317_000858	{ol}變更數值
UI_20150317_000859	{ol}套用
UI_20150317_000860	打開資料夾
UI_20150317_000861	全部檢查
UI_20150317_000862	歷史紀錄
UI_20150317_000863	還原數值
UI_20150317_000864	{ol}選擇物品
UI_20150317_000865	輸入名稱進行搜尋
UI_20150317_000866	{@st42}確認{/}
UI_20150317_000867	{@st41}建立 UI{/}
UI_20150317_000868	{ol}框架
UI_20150317_000869	{@st41}框架{/}
UI_20150317_000870	{@st41}按鈕{/}
UI_20150317_000871	{@st41}文字{/}
UI_20150317_000872	{@st42b}一般{img btn_close}
UI_20150317_000873	{@st42b}拍賣{img btn_close}
UI_20150317_000874	{@st41}設定地圖地點{/}
UI_20150317_000875	{@st41}重新命名{/}
UI_20150317_000876	{@st59}輸入你想篩選的名稱{/}
UI_20150317_000877	{@st41}建立{/}
UI_20150317_000878	{@st56}保存XML{/}
UI_20150317_000879	{@st56}重設{/}
UI_20150317_000880	{@st56}特性{/}
UI_20150317_000881	{@st56}數值{/}
UI_20150317_000882	{@st42}內容{/}
UI_20150317_000883	{@st41}上一步{/}
UI_20150317_000884	{@st41}全部保存{/}
UI_20150317_000885	{@st41}打開XML{/}
UI_20150317_000889	{@st42b}技能名稱{/}
UI_20150317_000890	{@st41}魔物獵表{/}
UI_20150317_000891	{@st41}效能管理員{/}
UI_20150317_000892	{ol}選擇任務
UI_20150317_000893	輸入任務名稱進行搜尋
UI_20150317_000894	{ol}選擇地圖
UI_20150317_000895	書入地圖名稱進行搜尋
UI_20150317_000896	{@st42}目前地圖{/}
UI_20150317_000897	{ol}地圖名稱
UI_20150317_000898	{ol}座標
UI_20150317_000899	{@st41}變更任務獎勵{/}
UI_20150317_000900	{@st59}輸入任務進行搜尋{/}
UI_20150317_000901	{@st59}書入物品進行搜尋{/}
UI_20150317_000902	{@st42}EXP
UI_20150317_000903	{ol}基礎獎勵
UI_20150317_000904	{ol}數量
UI_20150317_000905	{ol}額外獎勵
UI_20150317_000906	{@st45}常用作弊功能
UI_20150317_000907	{@st41}技能地圖{/}
UI_20150317_000908	{@st42}能力{/}
UI_20150317_000909	{@st42}戰士{/}
UI_20150317_000910	{@st42}法師{/}
UI_20150317_000911	{@st42}弓箭手{/}
UI_20150317_000912	{@st42}武僧{/}
UI_20150317_000913	{@st42}巫師{/}
UI_20150317_000932	{@st44}UI列表{/}
UI_20150317_000933	{ds}附加元件列表
UI_20150317_000935	{@st42}UI列表{/}
UI_20150317_000936	{@st59}顯示UI列表{/}
UI_20150317_000937	{@st42}調整位置{/}
UI_20150317_000938	{@st59}調整位置{/}
UI_20150317_000939	{@st42}編輯屬性{/}
UI_20150317_000940	{@st59}編輯屬性{/}
UI_20150317_000943	{@st44}編輯 UI 屬性{/}
UI_20150317_000944	{@St59}回到人物選單{/}
UI_20150317_000946	{@St59}遊戲設定{/}
UI_20150317_000948	{@st43}小屋設定{/}
UI_20150317_000949	{@st59}關閉小屋設定{/}
UI_20150317_000953	暫時刪除
UI_20150317_000955	{@St43}收容所裝修{/}
UI_20150317_000956	{@St41b}主題{/}
UI_20150317_000957	{@St41b}物品擺設{/}
UI_20150317_000960	{@St41b}狀態
UI_20150317_000961	{@St44}新角色{/}
UI_20150317_000962	{@St41b}{s22}選擇角色職業{/}
UI_20150317_000963	{@St41b}返回{/}
UI_20150317_000964	{@St59}取消建立角色
UI_20150317_000965	選擇角色
UI_20150317_000967	{@St59}順時針旋轉{/}
UI_20150317_000968	{@St59}逆時針旋轉{/}
UI_20150317_000969	{@St43b}角色旋轉{/}
UI_20150317_000970	{@st43}角色名稱{/}
UI_20150317_000971	輸入{@st59} {/}的名字
UI_20150317_000972	{@St43b}選擇性別{/}
UI_20150317_000973	{@St59}女性{/}
UI_20150317_000974	{@St59}男性{/}
UI_20150317_000975	{@st43b}選擇髮型{/}
UI_20150317_000976	{@st59}髮型1{/}
UI_20150317_000977	{@st59}髮型2{/}
UI_20150317_000978	{@St59}髮型3{/}
UI_20150317_000979	{@st59}髮型4{/}
UI_20150317_000980	{@st59}髮型5{/}
UI_20150317_000981	{@st59}髮型6{/}
UI_20150317_000982	{@st59}髮型7{/}
UI_20150317_000983	{@st59}髮型8{/}
UI_20150317_000984	{@st59}髮型9{/}
UI_20150317_000985	{@st59}髮型10{/}
UI_20150317_000991	{@St41b}拜訪收容所 {/}
UI_20150317_000992	{@St59}拜訪其他玩家的收容所。{/}
UI_20150317_000994	{@St59}返回登入畫面{/}
UI_20150317_000996	{@St59}結束救世主之樹{/}
UI_20150317_000997	{@st41b}請選擇分流{/}
UI_20150317_000999	{@St59}以目前的角色進行遊戲{/}
UI_20150317_001006	{@St44}新的對話名稱{/}
UI_20150317_001007	{@St42}取消{/}
UI_20150317_001008	{@St44}新的視窗名稱{/}
UI_20150317_001009	{@St43}{s40}{gr gradation4}角色建立{/}
UI_20150317_001010	{@St59}建立角色{/}
UI_20150317_001011	{@St59}取消角色建立{/}
UI_20150317_001012	{@St59}關閉{/}
UI_20150317_001013	{@St59}為小屋取名{/}
UI_20150317_001014	{@St43}{s30}{#f0dcaa}輸入你的小屋名稱！
UI_20150317_001016	正在載入背景
UI_20150317_001017	提示
UI_20150317_001018	遊戲提示
UI_20150317_001019	登入
UI_20150317_001020	帳號 ID
UI_20150317_001021	{@st59}輸入你的 ID{/}
UI_20150317_001022	密碼
UI_20150317_001023	{@St59}輸入你的密碼{/}
UI_20150317_001024	{@St43}進入{/}
UI_20150317_001025	{@st59}連接到伺服器{/}
UI_20150317_001028	{@St41b}結束遊戲{/}
UI_20150317_001030	{@St59}記住帳號{/}
UI_20150317_001032	{@St59}請選擇伺服器{/}
UI_20150317_001036	視野距離
UI_20150317_001037	{S20}{#BBBBBB}視野距離
UI_20150317_001038	視野距離：
UI_20150317_001040	背景物件：
UI_20150317_001041	地形 - 草 (%)：
UI_20150317_001042	地形 - 樹 (%)：
UI_20150317_001043	地形 - 物件 (%)：
UI_20150317_001044	陰影
UI_20150317_001045	{S20}{#BBBBBB}陰影映射
UI_20150317_001046	使用陰影映射
UI_20150317_001047	陰影品質：
UI_20150317_001048	使用 SSAO
UI_20150317_001049	SSAO 方法：
UI_20150317_001050	SSAO 解析度：
UI_20150317_001051	水面反射
UI_20150317_001052	{s20}{#BBBBBB}水面反射
UI_20150317_001053	角色水面反射
UI_20150317_001054	背景水面反射
UI_20150317_001055	{s20}{#BBBBBB}光暈效果設定
UI_20150317_001056	使用光暈效果
UI_20150317_001063	{@st43}建立角色
UI_20150317_001064	{@st59}建立所選角色{/}
UI_20150317_001065	{@st41b}取消選擇
UI_20150317_001066	{@st59}取消角色建立{/}
UI_20150317_001067	角色資訊
UI_20150317_001070	道具建立介面
UI_20150317_001071	{s24}名稱 :
UI_20150317_001072	{s16} 力量 :
UI_20150317_001073	{s16} HP :
UI_20150317_001074	{s16} 敏捷 :
UI_20150317_001075	{s16} 體力 :
UI_20150317_001076	{s16} Force :
UI_20150317_001077	{s18} 職業選擇
UI_20150317_001078	{s18} 正道聯盟
UI_20150317_001079	{s18} 邪教軍團
UI_20150317_001086	{S16}性別與外貌
UI_20150317_001087	男性
UI_20150317_001088	女性
UI_20150317_001089	髮型調整
UI_20150317_001091	肩膀寬度
UI_20150317_001092	四肢大小
UI_20150317_001093	胸部
UI_20150317_001094	腰圍
UI_20150317_001095	臀部
UI_20150317_001096	{S18} 頭部
UI_20150317_001097	{S14} 身高調整
UI_20150317_001098	{S14} 肩膀寬度
UI_20150317_001099	{S14} 四肢大小
UI_20150317_001100	{S14} 胸部
UI_20150317_001101	{S14} 腰圍
UI_20150317_001102	{S14} 臀部
UI_20150317_001103	使用預設
UI_20150317_001104	隨機
UI_20150317_001105	建立新角色
UI_20150317_001106	取消角色建立
UI_20150317_001107	{@St43}{s40}{gr gradation4}開始遊戲{/}
UI_20150317_001108	{@St43}{s40}{gr gradation4}結束預覽{/}
UI_20150317_001109	{@St43}{s40}{gr gradation4}返回區域{/}
UI_20150317_001110	{@St59}返回區域。{/}
UI_20150317_001111	{@St41b}返回{/}
UI_20150317_001112	{@St59}回到我的小屋{/}
UI_20150317_001113	{@St43}{s24}小屋名稱{/}
UI_20150317_001114	{@St59}小屋名稱{/}
UI_20150317_001115	{@st41b}裝修{/}
UI_20150317_001116	{@St59}小屋裝修{/}
UI_20150317_001117	{@St41b}設定{/}
UI_20150317_001118	{@St59}收留所設定{/}
UI_20150317_001119	自訂的道具框架
