QUEST_20150317_000001	請選擇使用者需要任務更新.
QUEST_20150317_000116	3. 不要接近封閉的區域. {nl}4. 有任何可疑人物應報告給 Klaipeda 騎士.
QUEST_20150317_000117	支援基地士兵
QUEST_20150317_000118	我從來沒有過真正的戰鬥, 所以才讓我有點緊張.
QUEST_20150317_000119	農場哨兵
QUEST_20150317_000120	我的同事 is in the middle of a battle at the Miners' Village. {nl}我想過要去幫助, but the Eastern Woods is in trouble as well, 所有我能做的就是擔心.
QUEST_20150317_000121	I think this mission has shown me enough monsters for a lifetime. {nl}It used to be just groups of Vubbes.
QUEST_20150317_000122	{memo X}
QUEST_20150317_000123	Klaipeda 護衛隊長
QUEST_20150317_000124	你是…
QUEST_20150317_000125	{memo X}
QUEST_20150317_000126	你沒有需要的任務物品. 你確定要去繼續?
QUEST_20150317_000127	Klaipeda Girl
QUEST_20150317_000128	我的鄰居曾經是一個怪物獵人. {nl}現在他退休了，但這太危險了.
QUEST_20150317_000129	{memo X}
QUEST_20150317_000130	這可能是愚蠢的希望女神回歸, 但總比沒有好.
QUEST_20150317_000131	Klaipeda 女士
QUEST_20150317_000132	We can still grow from the land, and have a warm hearth at our homes to rest at. {nl}我永遠相信女神是在世界某個地方.
QUEST_20150317_000133	保持信心. {nl}女神仍可能派一個救世主給我們.
QUEST_20150317_000134	Hoplite 導師
QUEST_20150317_000135	如果劍是權力的象徵，那麼矛是純粹的破壞. {nl}力量或破壞 - what would you reach for on the battlefield?
QUEST_20150317_000136	機械工人
QUEST_20150317_000137	Even with the world as chaotic as it is, 我們不能停止工作. {nl}它已經四年了. 是不是時候去令他和平和重新開始?
QUEST_20150317_000138	Klaipeda is a town that lives off its mining. {nl}With 聖樹之日, we ought to work on planting trees or cutting them.
QUEST_20150317_000139	My old man did this thing where he checked around corners for anything nice.{nl}有時候，他會幸運地找到一個不錯的寶箱。我不知道是誰把他放在那裡.
QUEST_20150317_000140	退休獵人
QUEST_20150317_000141	我記得這場戰鬥在一個很深的峽谷，其中士兵打了一個巨大的怪物. {nl}看著巨大的東西墜落是十分驚人, 但更驚人的是戰利品.
QUEST_20150317_000142	Old Potter
QUEST_20150317_000143	我把祈禱放在我的土陶內, 一個接一個. {nl}這樣一來, 這些壺總有一天會充滿女神的祝福.
QUEST_20150317_000144	{memo X}
QUEST_20150317_000145	Wizards work with Intelligence, but shouldn't forget Spirit for more spell-casting. {nl}你必須在平衡或專業之間進行選擇.
QUEST_20150317_000146	{memo X}
QUEST_20150317_000147	{memo X}
QUEST_20150317_000148	Doppelsoeldner 導師
QUEST_20150317_000149	值得的事情總是隨著某種程度的風險. {nl}當然，對於巨大的回報，你必須要忍受很多的危險.
QUEST_20150317_000150	Corsair 導師
QUEST_20150317_000151	{memo X}
QUEST_20150317_000152	巨石
QUEST_20150317_000153	一塊巨石擋住了路。
QUEST_20150317_000154	這需要修理.
QUEST_20150317_000155	{memo X}
QUEST_20150317_000156	魔法研究材料
QUEST_20150317_000157	它似乎是在法師塔的某人研究筆記. {nl}應該被複製?
QUEST_20150317_000158	{memo X}
QUEST_20150317_000159	{memo X}
QUEST_20150317_000160	如果控制魔法消失了, 神聖的訊息將不受保護.
QUEST_20150317_000161	遺忘盜賊的紀念碑
QUEST_20150317_000162	我, Zubeck, 離開這個墓誌銘. {nl}對於有幸成為史上最偉大的小偷，我挑戰一個強大的巫師.
QUEST_20150317_000163	But could I, a mere thief, claim victory by merely stealing from her? {nl}Perhaps, if I could rob the greatest archmage blind.
QUEST_20150317_000164	然而，我不能. {nl}我想成為頭號盜賊在所有歷史中，不只是今天.
QUEST_20150317_000165	我終於發現了一種方法來進入法師塔. {nl}To do so one has to concentrate magic power at a specific place. {nl}現在，我只需要多花費一個決定性的一步.
QUEST_20150317_000166	然後，我的特殊裝置將啟動. {nl}如果你像我一樣，你也可以進入塔內.
QUEST_20150317_000167	在此之後, 你也可以顯示這些愚蠢的魔法師一兩件事。哈哈！
QUEST_20150317_000168	指揮官紀念碑
QUEST_20150317_000169	{memo X}
QUEST_20150317_000170	惡魔女王 Gesti
QUEST_20150317_000171	傲慢的人類.
QUEST_20150317_000172	你等著. 這不是結束. {nl}Pray with your heart that Laima will save this world.
QUEST_20150317_000173	Klaipeda 軍官
QUEST_20150317_000174	{memo X}
QUEST_20150317_000175	你想前往 Klaipeda's gate right away?
QUEST_20150317_000176	臨時操作員
QUEST_20150317_000177	請改變這個角色的狀態.
QUEST_20150317_000178	NPC 隱藏/不隱藏 設定!
QUEST_20150317_000179	追隨者 Algis
QUEST_20150317_000180	這是當下的女神預言到第一個聖騎士. {nl}來吧. 問我任何東西.
QUEST_20150317_000181	很久很久以前, there were nomads that suffered from a cursed plague. {nl}可敬的第一個聖騎士除去了聖潔遺物的詛咒。
QUEST_20150317_000182	The Watchers are the descendants of those nomads. {nl}然而，聖潔遺物並不意味著可用於治療那些人。
QUEST_20150317_000183	第一個聖騎士從女神收到請求, 有一天，在一個神聖的啟示. {nl}正當他在思考如何保守這個秘密, the nomads appeared with their curse.
QUEST_20150317_000184	他們與第一個聖騎士在打破詛咒前提出了三項承諾.
QUEST_20150317_000185	To build 泰耐特 Chapel together. {nl}要在這片土地上隱藏聖潔遺物和監視它. {nl}當有危險接近時一起戰鬥.
QUEST_20150317_000186	All this, was to protect the Revelation hidden in the sanctum of 泰耐特 Chapel.
QUEST_20150317_000187	神聖遺物最初是為了保護該訊息. {nl}這是為了引誘惡魔女王和毀掉她.
QUEST_20150317_000188	任何東西都可發生, 雖然. {nl}如果該計劃失敗，那麼最後的戰鬥很有可能將發生在這裡，在教堂裡。
QUEST_20150317_000189	Pawndel
QUEST_20150317_000190	有什麼事？
QUEST_20150317_000191	真的嗎?
QUEST_20150317_000192	Pawnd
QUEST_20150317_000193	發生什麼事?
QUEST_20150317_000194	Gesti 告訴我們要保護這個地方.
QUEST_20150317_000195	所以我現在要做什麼?
QUEST_20150317_000196	這是正確的地方?
QUEST_20150317_000197	解釋中
QUEST_20150317_000198	{memo X}
QUEST_20150317_000199	{memo X}
QUEST_20150317_000200	Graverobber Hubertas
QUEST_20150317_000201	Hanging around in these ruins is driving me insane. {nl}為什麼他會來到這裡來呢?
QUEST_20150317_000202	Graverobber Benjaminas
QUEST_20150317_000203	{memo X}
QUEST_20150317_000204	一位市民的日記
QUEST_20150317_000205	{memo X}
QUEST_20150317_000206	哨兵的報告
QUEST_20150317_000207	{memo X}
QUEST_20150317_000208	一位交易員的日誌
QUEST_20150317_000209	{memo X}
QUEST_20150317_000210	{memo X}
QUEST_20150317_000211	一位官員的記錄
QUEST_20150317_000212	{memo X}
QUEST_20150317_000213	{memo X}
QUEST_20150317_000214	{memo X}
QUEST_20150317_000215	Cryomancer Kostas
QUEST_20150317_000216	{memo X}
QUEST_20150317_000217	Graverobber Rudolpas
QUEST_20150317_000218	{memo X}
QUEST_20150317_000219	一位皇家官員的記錄
QUEST_20150317_000220	{memo X}
QUEST_20150317_000221	Townsperson's Document
QUEST_20150317_000222	{memo X}
QUEST_20150317_000223	一位陸軍官員的報告
QUEST_20150317_000224	{memo X}
QUEST_20150317_000225	一位市民的記錄
QUEST_20150317_000226	The Great Earth Fortress has fallen! It's all over…
QUEST_20150317_000227	{memo X}
QUEST_20150317_000228	{memo X}
QUEST_20150317_000229	{memo X}
QUEST_20150317_000230	{memo X}
QUEST_20150317_000231	{memo X}
QUEST_20150317_000232	Graverobber Stephonas
QUEST_20150317_000233	{memo X}
QUEST_20150317_000234	王國陸軍 Rofdel
QUEST_20150317_000235	{memo X}
QUEST_20150317_000236	{memo X}
QUEST_20150317_000237	Bokor Edita
QUEST_20150317_000238	{memo X}
QUEST_20150317_000239	Alchemist Saliamonas
QUEST_20150317_000240	{memo X}
QUEST_20150317_000241	Graverobber Amanda
QUEST_20150317_000242	Our family's different from those other grave-robbing animals. {nl}We might bend a few rules 去 make a living, 但 still…
QUEST_20150317_000243	{memo X}
QUEST_20150317_000244	高速移動
QUEST_20150317_000245	被撕毀的信
QUEST_20150317_000246	To my beloved Brother in Fedimian…
QUEST_20150317_000247	Gesti 已經感覺到了. 保持冷靜. 它尚未時候.
QUEST_20150317_000248	下班供應騎兵
QUEST_20150317_000249	我不知道王室正在做什麼. {nl}我甚至聽說貴族已經逃離小鎮.
QUEST_20150317_000250	In times like these, it's good 去 craft 和 use your own things rather than buying stuff. {nl}I was originally a supply trooper, 但 that work's not much different from a blacksmith's.
QUEST_20150317_000251	追隨者 Norma
QUEST_20150317_000252	我不知道你是接受了我們的請求, 啟示者. {nl}這確實是一種榮譽.
QUEST_20150317_000253	Gesti 的惡魔毫不留情地不停的攻擊. {nl}Their dark influence has reached the Panto that live here.
QUEST_20150317_000254	The Panto were once docile, but now they charge and attack on sight.
QUEST_20150317_000255	There is a tree here that the Panto worship. {nl}如果發生這種情況, 那棵樹已經幾乎肯定被黑暗的力量破壞.
QUEST_20150317_000256	Please protect the Romuvan barrier at the top of the valley. {nl}We will take care of the rest when our brothers arrive here.
QUEST_20150317_000257	{memo X}
QUEST_20150317_000258	{memo X}
QUEST_20150317_000259	我們還在準備. {nl}請再等一會兒.
QUEST_20150317_000260	Antares
QUEST_20150317_000261	什麼? 你還試圖擾亂我的實驗? {nl}我不會允許這個!
QUEST_20150317_000262	{memo X}
QUEST_20150317_000263	當我釋放這個閥門，我的偉大實驗將是完整的，你會看到最壯觀的景象！
QUEST_20150317_000264	{memo X}
QUEST_20150317_000265	你仍然不明白? If it weren't for Antares, I'd be spending my life as a human. {nl}這是正確。我是個惡魔.
QUEST_20150317_000266	{memo X}
QUEST_20150317_000267	你知道關於惡魔領主, Helgasercle? {nl}我讀過她在過去多次攻擊法師塔.
QUEST_20150317_000268	她會不斷發展壯大，直到她妒嫉減弱. {nl}但她每次來都會被打敗了, 所以我不知道如果她成功了這一次.
QUEST_20150317_000269	小心! 你後面!
QUEST_20150317_000270	I hope this Revelation reaches you under the blessings of fire. {nl}These are the disasters I've foreseen in your age.
QUEST_20150317_000271	Since the dawn of time, the World Tree has grown beneath the earth, breathing life into being. {nl}It is the root of all things.
QUEST_20150317_000272	Giltine is setting the stage for a disaster by turning the World Tree's essence upon itself.{nl}By reversing the flow of life's energy, the World Tree retakes it and grows to a tremendous scale.
QUEST_20150317_000273	The rampaging World Tree will rip through the land, bringing disaster to all. {nl}Indeed, the Divine Tree you see in your time is in fact the World Tree.
QUEST_20150317_000274	The catastrophe will not end there. {nl}You have surely seen the Tree Root Crystals.
QUEST_20150317_000275	The demons transformed them to easily consume the spirits and aid in the Tree's growth. {nl}Because of this, many new monsters will be born, armed with even greater ferocity.
QUEST_20150317_000276	When I learned of it all, my remaining strength could not cope with the great calamity. {nl}The prophecy sent to Zachariel of the capital's demise was forgotten, due to the demons' scheming.
QUEST_20150317_000277	世界樹將繼續生長. {nl}To what end… 是我不能控制.
QUEST_20150317_000278	However, I doubt the plights I saw were the limits of all that will happen. {nl}I believe the seeds of change will come from you.
QUEST_20150317_000279	我將在這裡結束我的長篇故事。 The wise Maven will hold the next Revelation. {nl}I quietly await for the day you reach the Great Cathedral.
QUEST_20150317_000280	女神 Gabija
QUEST_20150317_000281	{memo X}
QUEST_20150317_000282	{memo X}
QUEST_20150317_000283	{memo X}
QUEST_20150317_000284	Auctioneer
QUEST_20150317_000285	It ain't easy to get the good stuff. {nl}Merchants have been rethinking their routes thanks to the monsters around Klaipeda.
QUEST_20150317_000286	The auction has started! {nl}We went through a lot of trouble to bring you these listed items. {nl}Let's start the bidding!
QUEST_20150317_000287	These are the West Siauliai Woods. {nl}We should give a certain amount away when the villagers tend to the memorials, right?
QUEST_20150317_000288	So the Thaumaturge 導師 sent you. {nl}One question, first. The center of Fedimian holds a statue designed after which 女神?
QUEST_20150317_000289	這裡有個測驗, 聽好了! {nl}What is the name of the group that Lydia Schaffen made to retrieve the 女神' Revelation?
QUEST_20150317_000290	Did you read any books in the Crystal Mine's 1st Lot, 2nd Gallery? {nl}What's the name of the prisoner who wasn't able to escape after trapping Mirtis by caving in the Crystal Mine?
QUEST_20150317_000291	{memo X}
QUEST_20150317_000292	{memo X}
QUEST_20150317_000293	敏感的貓頭鷹
QUEST_20150317_000294	貓頭鷹嚎叫…
QUEST_20150317_000295	貓頭鷹嚎叫… 它看起來很傷心, 獨自哭泣.
QUEST_20150317_000296	就是這樣. 幹得好!
QUEST_20150317_000297	非常接近. 再試試你的運氣.
QUEST_20150317_000298	出色. 就是這樣!
QUEST_20150317_000299	不. 再試一次.
QUEST_20150317_000300	好. 非常好!
QUEST_20150317_000301	你明白這是錯. {nl}你為什麼不嘗試一次?
QUEST_20150317_000302	The place upstairs is the divine place where the gigantic 女神 Statue, the symbol of Fedimian, is located. {nl}All believers, tidy yourself and worship quietly.
QUEST_20150317_000303	{memo X}
QUEST_20150317_000304	{memo X}
QUEST_20150317_000305	{memo X}
QUEST_20150317_000306	{memo X}
QUEST_20150317_000307	{memo X}
QUEST_20150317_000308	這是 Fedimian 的神聖區域. {nl}願女神保佑你的未來.
QUEST_20150317_000309	Right now, the Market District is closed for reconstruction. {nl}Please do not enter that district.
QUEST_20150317_000310	The Fedimian Holy District welcomes you.
QUEST_20150317_000311	非常感謝你的努力。 We are going to investigate here one more time. {nl}振作起來!
QUEST_20150317_000312	已經完成? {nl}了不起! You'd expect nothing less from a Revelator!
QUEST_20150317_000313	It is said that if one receives too much good, he begins to believe it's his right. {nl}Maybe, we relied too much on the 女神.
QUEST_20150317_000314	士兵 Pitt
QUEST_20150317_000315	Are you the Revelator? {nl}It is such an honor to meet you!
QUEST_20150317_000316	士兵 Bran
QUEST_20150317_000317	Ever since I was a kid, it's been my dream to fight at the front lines!
QUEST_20150317_000318	培訓士兵 Malt
QUEST_20150317_000319	The number of monsters are not declining even after the Revelator tried so hard…
QUEST_20150317_000320	指揮官 Raimondas
QUEST_20150317_000321	Many people who claim to be Revelators come here. {nl}你是其中之一嗎？
QUEST_20150317_000322	I have met many Revelators, but I have never seen one quite like you. {nl}做得好。我希望我們會有再見面的一天。
QUEST_20150317_000323	Herb Broker
QUEST_20150317_000324	你需要什麼嗎?
QUEST_20150317_000325	你在這裡看到的出售物不是我的全部. 呵呵…
QUEST_20150317_000326	Instructor Nicker
QUEST_20150317_000327	If one soldier breaks a rule, then it may endanger the entire military. {nl}That's why we have to be very strict.
QUEST_20150317_000328	I guess I'll admit it now. You, the Revelator, pursue the dream of the 女神. {nl}It's not going to be easy, but I believe you'll do well.
QUEST_20150317_000329	Are you the Revelator? Good job, {nl}but I'm not quite sure I can trust you.
QUEST_20150317_000330	Private Personnel
QUEST_20150317_000331	To survive in this chaotic world, you'll sometimes need to use some dirty tricks. {nl}You shouldn't feel bad about it.
QUEST_20150317_000332	If you want to get a job done quick, then do it yourself. {nl}That's why I became a soldier.
QUEST_20150317_000333	I've heard many stories of heroes who fought for justice in my childhood, {nl}but I've always thought of them as just stories…{nl}Now I think heroes may exist.
QUEST_20150317_000334	York
QUEST_20150317_000335	女神可能放棄我們, but we feel safe with the Revelator here with us.
QUEST_20150317_000336	I want to go back to my hometown… {nl}I can't wait for supplies any longer. {nl}There's also no end in sight for this situation. *sigh*
QUEST_20150317_000337	There are moments that I just want to go out without the uniform and the boots. {nl}I only do this for my family's safety.
QUEST_20150317_000338	I am not a poet myself so I can't say it for sure… but you seem different. {nl}Anyway, I hope I can hear about you even if you are far away.
QUEST_20150317_000339	擺地攤
QUEST_20150317_000340	我們在這有任何東西. {nl}但像你看到一樣, 我們暫時關閉了.
QUEST_20150317_000341	Epitaph
QUEST_20150317_000342	{memo X}
QUEST_20150317_000343	You think about Smid whenever you see this rubbed copy.
QUEST_20150317_000344	通知
QUEST_20150317_000345	King Zachariel is buried here.
QUEST_20150317_000346	This is the Holy District of Fedimian protected by 女神 Zemyna.
QUEST_20150317_000347	Please do not enter; your safety is not guaranteed. {nl}For other questions, please see Liaison Officer Niels.
QUEST_20150317_000348	Gravestone
QUEST_20150317_000349	它是不可讀. {nl}Let's ask the villager who is standing nearby.
QUEST_20150317_000350	一個士兵的日記
QUEST_20150317_000351	Found soldier's diary in the military backpack.
QUEST_20150317_000352	Zachariel's Brave Protector
QUEST_20150317_000353	{memo X}
QUEST_20150317_000354	錯誤. {nl}但我會給你多一次機會.
QUEST_20150317_000355	Zachariel's Faithful Protector
QUEST_20150317_000356	{memo X}
QUEST_20150317_000357	Liliya's Echo
QUEST_20150317_000358	{memo X}
QUEST_20150317_000359	{memo X}
QUEST_20150317_000360	{memo X}
QUEST_20150317_000361	{memo X}
QUEST_20150317_000362	{memo X}
QUEST_20150317_000363	{memo X}
QUEST_20150317_000364	{memo X}
QUEST_20150317_000365	不正確 amount of contribution. 沒發生什麼事. (氣球訊息)
QUEST_20150317_000366	{memo X}
QUEST_20150317_000367	我現在沒有足夠的銀幣…
QUEST_20150317_000368	Carve Vakarine
QUEST_20150317_000369	{memo X}
QUEST_20150317_000370	{memo X}
QUEST_20150317_000371	真是不幸。
QUEST_20150317_000372	Sanctum of Blessings
QUEST_20150317_000373	Are you going to make a contribution?
QUEST_20150317_000374	A dewdrop slipped and fell down onto the ground.
QUEST_20150317_000375	{memo X}
QUEST_20150317_000376	{memo X}
QUEST_20150317_000377	{memo X}
QUEST_20150317_000378	{memo X}
QUEST_20150317_000379	{memo X}
QUEST_20150317_000380	聲音
QUEST_20150317_000381	你覺得有可疑的東西在裡面。
QUEST_20150317_000382	擔心妻子
QUEST_20150317_000383	{memo X}
QUEST_20150317_000384	{memo X}
QUEST_20150317_000385	我的丈夫總是向女神 Zemyna 祈禱. {nl}如果你想有一個好的馬鈴薯收穫，你不應該得到她的不好一面。 {nl}女神 Zemyna 是地球女神. She oversees farms and agriculture.
QUEST_20150317_000386	說起… {nl}關於四年前植物開始突變…
QUEST_20150317_000387	I wonder what 女神 Zemyna will think. {nl}Everything will be revealed when the 女神 returns but… {nl}噢，我在說什麼褻瀆神明的話。
QUEST_20150317_000388	Have you ever seen the stars glittering red in the night sky? {nl}That's the very symbol of 女神 Vakarine. {nl}She leads the evening star and wakes 女神 Ausrine the following day.
QUEST_20150317_000389	She also oversees energy and rest, so she is the guardian of travelers like you. {nl}Shout 女神 Vakarine's name three times when your legs hurt and you'll feel much better.
QUEST_20150317_000390	你在這做什麼? {nl}Did the 女神 also tell you to go to Klaipeda in your dreams?
QUEST_20150317_000391	Still following me after all that? {nl}好吧，繼續掙扎所有你想要的。
QUEST_20150317_000392	{memo X}
QUEST_20150317_000393	{memo X}
QUEST_20150317_000394	{memo X}
QUEST_20150317_000395	歡迎. 我聽說你從 Uska 要來. {nl}不要只站在那裡. 我希望可以和你談談.
QUEST_20150317_000396	So, you're the one who got the Revelation from the Crystal Mine, right? {nl}If it's alright with you, I'd like to hear the details.
QUEST_20150317_000397	了不起. {nl}We also follow the first Paladin's will and came here to guard this place. {nl}Same goes for the Watchers here.
QUEST_20150317_000398	{memo X}
QUEST_20150317_000399	{memo X}
QUEST_20150317_000400	Disciple of the Elderly
QUEST_20150317_000401	{memo X}
QUEST_20150317_000402	Sometimes, I also place the clay tablets with people's wishes. {nl}Reading old people's wishes is fun.
QUEST_20150317_000403	Fedimian Old Lady
