SKILL_20150317_000001	攻擊
SKILL_20150317_000030	[Big Griba] 物理, 打擊, 雷屬性,Ground Smash 1次
SKILL_20150317_000031	[Haming] 物理, 打擊, 雷屬性, Head 打擊
SKILL_20150317_000032	[Haming] 物理, 打擊, 雷屬性, Counter Skill
SKILL_20150317_000033	[Haming] 物理, 打擊, 雷屬性, Jump and rotating 攻擊
SKILL_20150317_000034	[Truffle] 物理, 打擊, 雷屬性, Body Slam
SKILL_20150317_000035	[Truffle] 物理, 打擊, 雷屬性, Smash
SKILL_20150317_000036	[Truffle] 物理, 打擊, 雷屬性, Body Slam
SKILL_20150317_000037	[Slime_闇] 物理, 打擊, 闇屬性, Headbutt
SKILL_20150317_000038	[Slime_闇] 物理, 打擊, 闇屬性, 攻擊 1次
SKILL_20150317_000039	[Kepa] 物理, 打擊, 毒屬性, 扇形區域攻擊
SKILL_20150317_000040	[Addicted Kepa] 普通攻擊, 扇形區域攻擊
SKILL_20150317_000041	[Old Kepa] 物理, 打擊, 地屬性, Fume Smoke
SKILL_20150317_000042	[Thornball] 物理, 刺擊, 毒屬性, 扇形區域攻擊
SKILL_20150317_000043	[Matsum] 物理, 打擊, 火屬性, 扇形區域攻擊
SKILL_20150317_000044	[Sakmoli] 魔法, 打擊, 冰屬性. 普通攻擊 1次
SKILL_20150317_000045	[Sakmoli] 魔法, 打擊, 冰屬性, 普通攻擊 1次
SKILL_20150317_000046	[Jukopus] 物理, 打擊, 地屬性, Body Slam
SKILL_20150317_000047	[Jukopus] 物理, 打擊, 地屬性, Jump and Body Slam
SKILL_20150317_000048	[Red Bushspider] Jump and Smash
SKILL_20150317_000049	[Red Bushspider] 普通攻擊, 扇形區域攻擊
SKILL_20150317_000050	[Baby Dionia] 普通攻擊, 扇形區域攻擊
SKILL_20150317_000051	[Mini Griba] 物理, 打擊, 毒屬性, One Punch
SKILL_20150317_000052	[Mini Griba] 物理, 打擊, 毒屬性, One-two Punch
SKILL_20150317_000053	[Mini Griba] 物理, 打擊, 毒屬性, Two-handed 打擊
SKILL_20150317_000054	[Griba] 物理, 打擊, 冰屬性 攻擊 1次
SKILL_20150317_000055	[Griba] 魔法, 魔法, 冰屬性 攻擊 1次
SKILL_20150317_000056	[Old Kepa] 普通攻擊, 扇形區域攻擊
SKILL_20150317_000057	[Tree Ghost] One-handed 打擊
SKILL_20150317_000058	[Tree Ghost] Two-handed clap
SKILL_20150317_000059	[Tree Ghost] Stomp ground
SKILL_20150317_000060	[Cockatrice] 魔法, 魔法, 火屬性, Fume 火 3次
SKILL_20150317_000061	[Zinute] 物理 刺擊 火屬性 攻擊 1次
SKILL_20150317_000062	[Zinute] 物理 斬擊 火屬性 攻擊 1次
SKILL_20150317_000063	[Tontulia] 物理 打擊 雷屬性 攻擊 1次
SKILL_20150317_000064	[Tontulia] 物理 打擊 雷屬性 攻擊 2次
SKILL_20150317_000065	[Tontus] 物理 打擊, 毒屬性 攻擊 2次
SKILL_20150317_000066	[Tontus] 物理 刺擊, 毒屬性 攻擊 1次
SKILL_20150317_000067	[Tontus] 物理 打擊, 毒屬性 攻擊 1次
SKILL_20150317_000068	[Vekarabe] 物理, 刺擊, 毒屬性, Forward 刺擊 攻擊
SKILL_20150317_000069	[Vekarabe] 物理, 刺擊, 毒屬性, Forward Upper 刺擊 攻擊
SKILL_20150317_000070	[Geppetto] 物理 打擊, 地屬性 攻擊 2次
SKILL_20150317_000071	[Geppetto] 物理 打擊, 地屬性 攻擊 1次
SKILL_20150317_000072	[Geppetto] 物理 打擊, 地屬性 攻擊 1次
SKILL_20150317_000073	[Boowook] 物理, 打擊, 地屬性 攻擊 1次
SKILL_20150317_000074	[Boowook] 物理, 打擊, 地屬性 Feet Stomp 攻擊 1次,
SKILL_20150317_000075	[Desmodus] 物理, 刺擊, 闇屬性 Tail Blow
SKILL_20150317_000076	[Desmodus] 物理, 刺擊, 闇屬性 Body Blow
SKILL_20150317_000077	[Pino] 物理 Blow, 地屬性 攻擊 1次
SKILL_20150317_000078	[Cauliflower] 物理, 刺擊, 毒屬性, Smash with tentacle
SKILL_20150317_000079	[Cauliflower] 物理, 刺擊, 毒屬性, Gouge with tentacle
SKILL_20150317_000080	[Cauliflower] 物理, 刺擊, 毒屬性, Ground Smash
SKILL_20150317_000081	[Helmet Bug] 物理, 刺擊, 地屬性, 攻擊 1次
SKILL_20150317_000082	[Helmet Bug] 普通攻擊2
SKILL_20150317_000083	[Bikaaras Mage] 魔法, 魔法, 火屬性, 攻擊 1次
SKILL_20150317_000084	[Bikaaras Mage] 物理, 斬擊, 火屬性, 攻擊 1次
SKILL_20150317_000085	[Vikaras] 物理, 斬擊, 火屬性, 攻擊 1次
SKILL_20150317_000086	[Vikaras] 物理, 斬擊, 火屬性, Ground Smash 1次
SKILL_20150317_000087	[Mutant Chinency] 普通攻擊, Forward Missile
SKILL_20150317_000088	[Zinute] One-handed Blow
SKILL_20150317_000089	[Zinute] Two-handed clap
SKILL_20150317_000090	[Zinute] Ground Smash
SKILL_20150317_000091	[Lauzinute] 物理, 刺擊, 火屬性 攻擊 1次
SKILL_20150317_000092	[Lauzinute] 物理, 刺擊, 火屬性 Rotating 攻擊
SKILL_20150317_000093	[Dandel] 物理 刺擊 雷屬性 攻擊 1次
SKILL_20150317_000094	[Rusrat] 物理, 斬擊, 雷屬性 攻擊 2次
SKILL_20150317_000095	[Rusrat] 物理, 斬擊, 雷屬性 攻擊 1次
SKILL_20150317_000096	[Medakia] 物理, 斬擊, 闇屬性 攻擊 1次
SKILL_20150317_000097	[Medakia] 魔法, 魔法, 闇屬性 攻擊 1次
SKILL_20150317_000098	[Medakia] Ground Smash
SKILL_20150317_000099	[Wheelen] Two-handed clap
SKILL_20150317_000100	[Mauros] 物理, 打擊, 闇屬性 攻擊 1次
SKILL_20150317_000101	[Mauros] 物理, 打擊, 闇屬性 Smash 攻擊 1次
SKILL_20150317_000102	[Sauga] 物理 打擊 地屬性 攻擊 1次
SKILL_20150317_000103	[Sauga] 物理, 打擊, 地屬性 Ground Smash
SKILL_20150317_000104	Pumpkin 普通攻擊.
SKILL_20150317_000105	攻擊 2
SKILL_20150317_000106	Pumpkin 普通攻擊 2.
SKILL_20150317_000107	[Saurman Priest] 普通攻擊.
SKILL_20150317_000108	Skills
SKILL_20150317_000109	[Saurman Priest] skills.
SKILL_20150317_000110	Saurman 普通攻擊.
SKILL_20150317_000111	Saurman 普通攻擊 2.
SKILL_20150317_000112	Boy Ghost 普通攻擊.
SKILL_20150317_000113	Boy Ghost skills.
SKILL_20150317_000114	Uncle Ghost 普通攻擊.
SKILL_20150317_000115	Uncle Ghost skills.
SKILL_20150317_000116	Goble Elite 普通攻擊.
SKILL_20150317_000117	Goble Elite 普通攻擊 2.
SKILL_20150317_000118	Screw Zombie 普通攻擊.
SKILL_20150317_000119	Screw Zombie 普通攻擊 2.
SKILL_20150317_000120	Berserker Zombie 普通攻擊.
SKILL_20150317_000121	Candle Zombie 普通攻擊.
SKILL_20150317_000122	Zombie Archer 普通攻擊.
SKILL_20150317_000123	[High Vubbe] 物理, 斬擊, 水屬性, 普通攻擊
SKILL_20150317_000124	[High Vubbe Archer] Range, 刺擊, 水屬性, 普通攻擊
SKILL_20150317_000125	Girl Ghost 普通攻擊.
SKILL_20150317_000126	Girl Ghost skills.
SKILL_20150317_000127	Madam Ghost 普通攻擊.
SKILL_20150317_000128	Madam Ghost skills.
SKILL_20150317_000129	Mirtis Eyeball 普通攻擊.
SKILL_20150317_000130	Mirtis Eyeball 普通攻擊 2.
SKILL_20150317_000131	Specter Elite 普通攻擊.
SKILL_20150317_000132	Specter Elite 普通攻擊 2.
SKILL_20150317_000133	[Chinency] 物理, 打擊, 地屬性, one stroke ahead-back blow
SKILL_20150317_000134	[Popolion] 物理, 打擊, 地屬性, Headbutt
SKILL_20150317_000135	[Popolion] 物理, 打擊, 地屬性, Sonic wave 攻擊
SKILL_20150317_000136	[Range Chinency] 普通攻擊, Forward missile
SKILL_20150317_000137	[Range Chinency] Skill 1, Forward missile, induce Knockback
SKILL_20150317_000138	[Chupacabra] 物理, 打擊, 地屬性, Headbutt
SKILL_20150317_000139	[Chupacabra] 物理, 打擊, 地屬性, Jump and Stomp
SKILL_20150317_000140	[Chupacabra] Chupa 普通攻擊 3
SKILL_20150317_000141	[Chupacabra] Chupa 普通攻擊 4
SKILL_20150317_000142	Specter 普通攻擊.
SKILL_20150317_000143	Woodspirit 普通攻擊.
SKILL_20150317_000144	Woodspirit 普通攻擊 2.
SKILL_20150317_000145	Guard 普通攻擊.
SKILL_20150317_000146	Guard 普通攻擊 2.
SKILL_20150317_000147	Large explosion
SKILL_20150317_000148	Large explosion (Defence)
SKILL_20150317_000149	One-way turret 普通攻擊.
SKILL_20150317_000150	[Ridimed] 物理, Blow, 毒屬性, 攻擊 1次
SKILL_20150317_000151	Goblin Fighter 攻擊.
SKILL_20150317_000152	Thorn Bush 普通攻擊.
SKILL_20150317_000153	[Combat Soldiers] Combatants 攻擊
SKILL_20150317_000154	[Combat Soldiers] Combatants 攻擊 2
SKILL_20150317_000155	Zombie Archer skill.
SKILL_20150317_000156	Wheelchair Zombie 普通攻擊.
SKILL_20150317_000157	Wheelchair Zombie skills.
SKILL_20150317_000158	Wall of Flame
SKILL_20150317_000159	Create a Wall of Flame that 傷害 enemies upon contact.
SKILL_20150317_000160	Mine explosion
SKILL_20150317_000161	Detonate explosive mines.
SKILL_20150317_000162	Toxic explosion
SKILL_20150317_000163	Detonate toxic mines.
SKILL_20150317_000164	雙刃刀陷阱 explosion
SKILL_20150317_000165	雙刃刀陷阱 explosion.
SKILL_20150317_000166	跳躍攻擊
SKILL_20150317_000167	Life Stream
SKILL_20150317_000168	Life Stream Hill
SKILL_20150317_000169	Glacier Wedge
SKILL_20150317_000170	After the 2 Glacier Wedge
SKILL_20150317_000171	Seed explosion
SKILL_20150317_000172	Seed explosion.
SKILL_20150317_000173	Flame explosion
SKILL_20150317_000174	Flame explosion.
SKILL_20150317_000175	Snowstorm
SKILL_20150317_000176	隕石術 Bang
SKILL_20150317_000177	普通攻擊
SKILL_20150317_000178	Smack Down
SKILL_20150317_000179	Smack down and 傷害 enemies while pushing them away.
SKILL_20150317_000180	Missile 攻擊
SKILL_20150317_000181	AOS turret 攻擊
SKILL_20150317_000182	[Woodman] 攻擊
SKILL_20150317_000183	Salamander 攻擊
SKILL_20150317_000184	[Vubbe Miner] 物理, 斬擊, 地屬性, Swing Pickaxe
SKILL_20150317_000185	Hall statue 攻擊
SKILL_20150317_000186	Hall statue skill
SKILL_20150317_000187	Priest 攻擊 1
SKILL_20150317_000188	Priest skill 1
SKILL_20150317_000189	[Green Apparition] 魔法, 魔法, 雷屬性, 攻擊 1次
SKILL_20150317_000190	攻擊 Statue 1
SKILL_20150317_000191	[Vubbe Theif] 物理, 斬擊, 地屬性, Spear Twirl
SKILL_20150317_000192	[Vubbe Theif] 物理, 刺擊, 地屬性 Aries skills
SKILL_20150317_000193	[Saurman Spearman] 普通攻擊.
SKILL_20150317_000194	[Saurman Spearman] 普通攻擊 2.
SKILL_20150317_000195	[Vubbe Archer] Range, 刺擊, 地屬性, Frontal Arrow Shot
SKILL_20150317_000196	[Pokubu] 物理, blow, 地屬性, Hook 攻擊
SKILL_20150317_000197	[Bagworm] 魔法, 魔法, 毒屬性, Frontal 毒 Spread 攻擊
SKILL_20150317_000198	[Bagworm] Long Distance, 魔法, 毒屬性, Ranged 毒 Shot
SKILL_20150317_000199	[Saurman Axeman] 普通攻擊.
SKILL_20150317_000200	[Saurman Axeman] 普通攻擊 2.
SKILL_20150317_000201	治療
SKILL_20150317_000202	Monster 治療
SKILL_20150317_000203	Vubbe Miner 攻擊
SKILL_20150317_000204	[Feral Pokubu] 普通攻擊.
SKILL_20150317_000205	Guard 普通攻擊.
SKILL_20150317_000206	Guard 普通攻擊 2.
SKILL_20150317_000207	Guard 普通攻擊 3.
SKILL_20150317_000208	[Candle Spider] 物理, Blow, 闇屬性, One-Legged 攻擊
SKILL_20150317_000209	[Candle Spider] 物理, Blow, 闇屬性, Body Slam
SKILL_20150317_000210	[Candle Spider] 物理, Blow, 闇屬性, Jump and Two-Legged Stomp
SKILL_20150317_000211	[Winged Frog] 物理, Blow, 毒屬性, 攻擊 1次
SKILL_20150317_000212	[Winged Frog] 物理, Blow, 毒屬性, 毒 攻擊 1次
SKILL_20150317_000213	[Winged Frog] 物理, Blow, 闇屬性, Headbutt Knockback 攻擊
SKILL_20150317_000214	[Black Leaf Bug] 物理, Blow, 闇屬性, Body Slam
SKILL_20150317_000215	[Black Leaf Bug] 物理, Blow, 闇屬性, Bite 攻擊
SKILL_20150317_000216	[Black Leaf Bug] 物理, Blow, 闇屬性, 跳躍攻擊
SKILL_20150317_000217	[Cemetery Golem] 物理, Blow, 地屬性 攻擊 1次
SKILL_20150317_000218	[Drake] 物理, 斬擊, 火屬性, 攻擊 1次
SKILL_20150317_000219	[Drake] 魔法, 魔法, 火屬性, Fume Flame 攻擊
SKILL_20150317_000220	[Big Cockatrice] 物理, 刺擊, 火屬性, 攻擊 2次
SKILL_20150317_000221	[Big Cockatrice] 魔法, 刺擊, 火屬性, Fly and head butt
SKILL_20150317_000222	[Big Cockatrice]
SKILL_20150317_000223	[Panto Shaman] 物理 Normal 打擊
SKILL_20150317_000224	[Panto Shaman] 魔法 雷屬性 打擊
SKILL_20150317_000225	[Panto Shaman] 魔法 雷屬性 魔法
SKILL_20150317_000226	[Panto Wizard] 物理 Normal 打擊
SKILL_20150317_000227	[Panto Wizard] 魔法 雷屬性 打擊
SKILL_20150317_000228	[Panto Wizard] 魔法 雷屬性 魔法
SKILL_20150317_000229	[Moya] 物理, 打擊, 雷屬性 攻擊
SKILL_20150317_000230	[Moyabu] 物理, 打擊, 雷屬性 攻擊
SKILL_20150317_000231	[Bavon] 物理, 打擊, 地屬性 攻擊
SKILL_20150317_000232	[Tanu] 物理 毒屬性 斬擊
SKILL_20150317_000233	[Zignuts] 物理 毒屬性 打擊
SKILL_20150317_000234	[Zignuts] 物理 Normal 斬擊
SKILL_20150317_000235	[Moglan] 物理, 刺擊, 雷屬性 攻擊
SKILL_20150317_000236	[Moglan] 物理, 刺擊, 雷屬性 Rotation 攻擊 2次
SKILL_20150317_000237	[Denden] 物理, 打擊, 闇屬性 攻擊
SKILL_20150317_000238	[Denden] Range, 魔法, 闇屬性 Shoot 1次
SKILL_20150317_000239	[Doyor] 物理, 打擊, 毒屬性 攻擊
SKILL_20150317_000240	[Doyor] 魔法 反射盾 魔法
SKILL_20150317_000241	[Tipio] 物理 Normal 打擊
SKILL_20150317_000242	[Tipio] 魔法 毒屬性 魔法
SKILL_20150317_000243	[Rondo] 物理, 刺擊, 地屬性 攻擊
SKILL_20150317_000244	物理, 打擊, 地屬性, 攻擊
SKILL_20150317_000245	[Terranymph] 物理, 打擊, 闇屬性 攻擊
SKILL_20150317_000246	[Venucelos] 物理, 打擊, 地屬性, 攻擊
SKILL_20150317_000247	[Venucelos] 物理, 打擊, 地屬性, 攻擊 3次
SKILL_20150317_000248	[Grave Golem] 物理, 打擊, 無屬性, 攻擊
SKILL_20150317_000249	[Grave Golem] 物理, 打擊, 無屬性, Smash 攻擊
SKILL_20150317_000250	[Grave Golem] 物理, 打擊, 無屬性, 攻擊 nearby monster
SKILL_20150317_000251	[Wheelen] 物理, 刺擊, 雷屬性 刺擊 攻擊
SKILL_20150317_000252	[Wheelen] 物理, 刺擊, 雷屬性 Rotation 攻擊 2次
SKILL_20150317_000253	[Wheelen] 物理, 刺擊, 雷屬性 Strong 刺擊 攻擊
SKILL_20150317_000254	[Rockter] 物理, 打擊, 無屬性, Body Slam
SKILL_20150317_000255	[Caro] 物理, 斬擊, 毒屬性, 攻擊 2次
SKILL_20150317_000256	[Vubbe Fighter] 1次 , 物理, 打擊, 地屬性
SKILL_20150317_000257	[Red_Kepa] 1次 物理,打擊, 火屬性
SKILL_20150317_000258	[Tiny] 物理, 斬擊, 雷屬性, 攻擊 2次
SKILL_20150317_000259	[Treeambulo] 物理, 打擊, 地屬性, 攻擊
SKILL_20150317_000260	[Spion] 物理, 打擊, 毒屬性, 攻擊 2次
SKILL_20150317_000261	[Bat] 物理, 打擊, 闇屬性, 打擊 with wings
SKILL_20150317_000262	[Shredded] 魔法, 魔法, 闇屬性, 闇屬性
SKILL_20150317_000263	[Yekubite] 物理, 打擊, 冰屬性, Head stomp
SKILL_20150317_000264	[Shardstatue] 物理, 刺擊, 雷屬性, Wing 打擊
SKILL_20150317_000265	[Cire] 物理, 打擊, 雷屬性, 攻擊
SKILL_20150317_000266	[Treegool] 物理, 打擊, 闇屬性, 攻擊
SKILL_20150317_000267	[Ammon] 物理, 斬擊, 地屬性 攻擊
SKILL_20150317_000268	[Operor] 物理, 刺擊, 毒屬性, Bee 刺擊 攻擊
SKILL_20150317_000269	[Chafperor] 物理, 刺擊, 毒屬性, 刺擊
SKILL_20150317_000270	[Ravinelerva] Range, 魔法, 毒屬性, 攻擊
SKILL_20150317_000271	[Vesper] 物理, 打擊, 闇屬性, Tail whip
SKILL_20150317_000272	[Karas] 物理, 斬擊, 闇屬性, 攻擊
SKILL_20150317_000273	[Echad] 物理, 打擊, 地屬性, 攻擊
SKILL_20150317_000274	[Shtayim] 物理, 打擊, 地屬性, 攻擊
SKILL_20150317_000275	[Tombsinker] 物理, 刺擊, 闇屬性, 攻擊
SKILL_20150317_000276	[Weaver] 物理, 打擊, 地屬性, Smoke 攻擊
SKILL_20150317_000277	[Hallowventer] 魔法, 魔法, 闇屬性, 攻擊
SKILL_20150317_000278	[Infro Rocktor] 物理, 打擊, 地屬性, One-handed hit
SKILL_20150317_000279	[Meleech] 物理, 斬擊, 毒屬性, 攻擊
SKILL_20150317_000280	[Infroburk] 物理, 打擊, 火屬性, 攻擊
SKILL_20150317_000281	[Zolem] 物理, 打擊, 地屬性, 攻擊
SKILL_20150317_000282	[Kepa Raider] 物理, 打擊, 闇屬性, 攻擊
SKILL_20150317_000283	[Mushcarfung] 物理, 打擊, 闇屬性, Body 攻擊
SKILL_20150317_000284	[Woodman] 物理, 斬擊, 闇屬性, 攻擊
SKILL_20150317_000285	[Wood_Goblin] 物理, 打擊, 雷屬性, 攻擊
SKILL_20150317_000286	[Stoneorca] 物理, 打擊, 冰屬性, Tail Hook
SKILL_20150317_000287	[Stoneorca] 魔法, Increase Block, Buff , 魔法
SKILL_20150317_000288	[Drape] 物理, 刺擊, 毒屬性 攻擊,
SKILL_20150317_000289	[Infro 待命er] 物理, 打擊, 火屬性, 攻擊
SKILL_20150317_000290	[Repusbunny] 物理, 斬擊, 冰屬性, 攻擊
SKILL_20150317_000291	[Armory] 物理, 打擊, 火屬性 攻擊
SKILL_20150317_000292	[Hound] 物理, 刺擊, 闇屬性 攻擊
SKILL_20150317_000293	[Stoulet] 物理, 打擊, 闇屬性 攻擊
SKILL_20150317_000294	[Prisonfighter] 物理, 斬擊, 闇屬性 攻擊
SKILL_20150317_000295	[Caro] 物理, 斬擊, 毒屬性, 攻擊
SKILL_20150317_000296	[Maggot] 物理, 打擊, 闇屬性, Body Slam
SKILL_20150317_000297	[Vubbe Chaser] 物理, 刺擊, 闇屬性, 刺擊 攻擊
SKILL_20150317_000298	[Red Meduja] 魔法, 魔法, 火屬性, 攻擊
SKILL_20150317_000299	[Avatar of Helgasecle] 魔法 闇屬性 魔法
SKILL_20150317_000300	[Filibo] 物理, 打擊, 毒屬性 攻擊
SKILL_20150317_000301	[Ellom] 物理, 打擊, 雷屬性, Smoke 攻擊
SKILL_20150317_000302	[Ellom] 物理, 打擊, 雷屬性, Smash 攻擊
SKILL_20150317_000303	[Hogma Warrior] 物理 斬擊 火屬性 攻擊
SKILL_20150317_000304	[Hogma Archer] Range 刺擊 雷屬性 攻擊
SKILL_20150317_000305	[Hogma Shaman] 魔法, 魔法, 火屬性 攻擊
SKILL_20150317_000306	[Merog Shaman] 魔法, 魔法, 冰屬性, Range Force 攻擊
SKILL_20150317_000307	[Merog Needler] Range, 刺擊, 毒屬性, Shoot 毒 Needle
SKILL_20150317_000308	[Hogma Shaman] 魔法, 魔法, 火屬性, 火wall 攻擊,
SKILL_20150317_000309	[Merog Shaman] 魔法, 打擊, 冰屬性, Forward cane 突刺
SKILL_20150317_000310	[Hogma Warrior] 物理, 打擊 火屬性, Shield Knockback 攻擊
SKILL_20150317_000311	[Hogma Warrior] Buff, 魔法, 火屬性, Block increase
SKILL_20150317_000312	[Merog Needler] Range, 刺擊, 毒屬性, Jump and Shoot 毒 Needle
SKILL_20150317_000313	[Hogma Battle Commander] 物理 斬擊 闇屬性, 攻擊
SKILL_20150317_000314	[Hogma Battle Commander] 物理 刺擊 闇屬性 攻擊
SKILL_20150317_000315	[Hogma Battle Commander] Monster Summon
SKILL_20150317_000316	[Lizardman] 物理, 打擊, 雷屬性, 攻擊
SKILL_20150317_000317	[Chupaluka] 物理, 打擊, 闇屬性 攻擊
SKILL_20150317_000318	[Ellomago] 物理, 刺擊, 雷屬性, 攻擊
SKILL_20150317_000319	[Ellogua] 物理, 刺擊, 雷屬性 攻擊
SKILL_20150317_000320	[Ellogua] Range, 魔法, 雷屬性 Shoot
SKILL_20150317_000321	[Wen挖掘o] 物理 斬擊 火屬性 攻擊
SKILL_20150317_000322	[Lizardman] 物理, 打擊, 雷屬性, March in and Headbutt 攻擊
SKILL_20150317_000323	[Kepari] 魔法, 魔法, 火屬性 攻擊 火 Debuff
SKILL_20150317_000324	[Kodomor] 物理, 打擊, 毒屬性 攻擊
SKILL_20150317_000325	[Kowak] 物理, 打擊, 地屬性 攻擊
SKILL_20150317_000326	[Groll] 物理, 刺擊, 毒屬性, Smoke 攻擊
SKILL_20150317_000327	[Groll] 物理, 刺擊, 毒屬性, 刺擊 with horn 攻擊
SKILL_20150317_000328	[Chupacabra] 物理, 打擊, 闇屬性, 攻擊
SKILL_20150317_000329	[Tama] 物理, 打擊, 地屬性 攻擊
SKILL_20150317_000330	[Medakia] 魔法, 斬擊, 闇屬性 攻擊
SKILL_20150317_000331	[Lemur] 物理, 斬擊, 冰屬性 攻擊,
SKILL_20150317_000332	[Hogma Fighter] 物理 斬擊 雷屬性 攻擊
SKILL_20150317_000333	[Hogma Guard] 物理 打擊 冰屬性 攻擊
SKILL_20150317_000334	物理, 打擊, 地屬性 One-handed 攻擊
SKILL_20150317_000335	魔法, 魔法, 治療 Floor
SKILL_20150317_000336	物理, 打擊, 地屬性 Body 攻擊 3次
SKILL_20150317_000337	[Old Hook] 物理, 斬擊, 地屬性, 攻擊
SKILL_20150317_000338	[Old Hook] 物理, 斬擊, 地屬性, Smash 攻擊
SKILL_20150317_000339	[Old Hook] 物理, 斬擊, 地屬性, Rotation 攻擊
SKILL_20150317_000340	[Varv] 物理, 打擊, 毒屬性, 攻擊
SKILL_20150317_000341	[Phyracon] 魔法, 魔法, 火屬性, 火 Shooting 攻擊 3次
SKILL_20150317_000342	[Phyracon] 物理, 打擊, 火屬性, 攻擊
SKILL_20150317_000343	[Phyracon] 魔法, 魔法, 火屬性, Flame Fume 攻擊 2次
SKILL_20150317_000344	[Red Old Hook] 物理, 斬擊, 火屬性, Rotation 攻擊
SKILL_20150317_000345	[Red Old Hook] 物理, 斬擊, 火屬性, Smash 攻擊
SKILL_20150317_000346	[Arma] 物理, 刺擊, 火屬性, 攻擊
SKILL_20150317_000347	[Arma] 物理, 刺擊, 火屬性, Dash and 攻擊 2次
SKILL_20150317_000348	[Flask] 物理, 打擊, 火屬性, 攻擊
SKILL_20150317_000349	[Black Shaman Doll] 物理, 刺擊, 闇屬性, 攻擊
SKILL_20150317_000350	[Dimmer] 物理, 打擊, 火屬性, 攻擊
SKILL_20150317_000351	[Dimmer] 物理, 打擊, 火屬性, 攻擊 2次
SKILL_20150317_000352	[Wizard Shaman Doll] 物理, 打擊, 闇屬性, 攻擊
SKILL_20150317_000353	[Wizard Shaman Doll] 物理, 打擊, 闇屬性, Rotate and 攻擊 3次
SKILL_20150317_000354	[Sequoia Flame] 魔法, 魔法, 火屬性, 攻擊
SKILL_20150317_000355	[Raflower] 物理, 刺擊, 毒屬性, Tentacle 攻擊
SKILL_20150317_000356	[Raflower] 物理, 刺擊, 毒屬性, Tentacle 攻擊
SKILL_20150317_000357	[Vubbe Wizard] 魔法, 魔法, 火屬性, 能量矢
SKILL_20150317_000358	[Vubbe Wizard] 魔法, 魔法, 火屬性, 反射盾 Buff
SKILL_20150317_000359	[Vubbe 火 Wizard] 魔法, 魔法, 火屬性, Range 火ball 攻擊
SKILL_20150317_000360	[Vubbe 火 Wizard] 魔法, 魔法, 火屬性, Fiore Pillar 攻擊
SKILL_20150317_000361	[Vubbe 冰 Wizard] 魔法, 魔法, 冰屬性, Range 冰箭術 攻擊
SKILL_20150317_000362	[Vubbe 冰 Wizard] 魔法, 魔法, 冰屬性, Refreezer Wave 攻擊
SKILL_20150317_000363	[Vubbe Shaman] 魔法, 魔法, 闇屬性, 治療 Floor Skill
SKILL_20150317_000364	[Vubbe Shaman] 魔法, 魔法, 闇屬性, Floor Skill
SKILL_20150317_000365	[Shredded] 魔法, 魔法, 闇屬性, Teleport to pc and 攻擊
SKILL_20150317_000366	[Leafnut] 物理, 打擊, 毒屬性 攻擊
SKILL_20150317_000367	[Panto] 物理, 打擊, 地屬性, 攻擊 2次
SKILL_20150317_000368	[Panto] 物理, 打擊, 地屬性, Continuous 攻擊 6 times 
