
UI_20150317_000001	{@st41b}可以從各職業的導師處{nl}學習到對應的特性技能。{/}
UI_20150317_000071	{@st59}技能卷軸個人商店{nl} - 支付銀幣後可以獲得該玩家的技能卷軸.
UI_20150317_000072	馬車選單
UI_20150317_000073	{ol}{s22}下降{/}
UI_20150317_000074	詠唱
UI_20150317_000075	{@st43}遊戲設定{/}
UI_20150317_000076	{@st64}請輸入方向鍵選擇單元！
UI_20150317_000077	{@st43}進階資訊{/}
UI_20150317_000078	{@st43}選擇職業
UI_20150317_000079	意志力
UI_20150317_000080	{@st42}%s 階 {/}
UI_20150317_000081	幾階
UI_20150317_000082	這裡是職業簡介。
UI_20150317_000083	{memo X}{@st41b}Attack {@sti7}%s{/}
UI_20150317_000084	{memo X}{@st41b}Support {@sti7}%s{/}
UI_20150317_000085	{memo X}{@st41b}Difficulty{@sti7}%s{/}
UI_20150317_000086	{@st59}關閉職業資訊視窗{/}
UI_20150317_000087	轉職提示
UI_20150317_000088	{@st43} 初始職業
UI_20150317_000089	{@sti7}{s14} 角色等級 {/}
UI_20150317_000090	{@sti8}{s14} 職業等級 {/}
UI_20150317_000091	{@st44}聊天{/}
UI_20150317_000092	To. WWWWWWWW and 1 other
UI_20150317_000093	{memo X}General: /s chat {nl} Shout: /y chat {nl} Party: /p chat{nl} Whisper: /w character's username chat
UI_20150317_000094	{@st41}普通聊天{/}
UI_20150317_000095	{@59}結束{/}
UI_20150317_000096	{@59}邀請{/}
UI_20150317_000097	{@st59}全部{/}
UI_20150317_000098	{@st59}普通 (/s 想說的話){/}
UI_20150317_000099	{@st59}廣播 (/y 想說的話){/}
UI_20150317_000100	{@st59}隊伍 (/p 想說的話){/}
UI_20150317_000101	{@st59}密語 (/w 小屋名稱 想說的話){/}
UI_20150317_000102	{@st59}調整聊天視窗大小{/}
UI_20150317_000103	{@st43}{s22}聊天巨集{/}
UI_20150317_000104	{@st43}聊天巨集{/}
UI_20150317_000105	{@st59b}聊天巨集 {nl} {@st59s} - 使用方法： {nl} 1. 從上方視窗選擇手勢記錄至下方快捷欄。 {nl} 2. 將手勢與設定好的資訊組合起來。 {nl} 3. 綁定/啟動對應快捷鍵。 {/}
UI_20150317_000106	{@st59}關閉巨集{/}
UI_20150317_000107	{@st41b}保存 {/}
UI_20150317_000108	{@st59}保存變更{/}
UI_20150317_000109	{@st41b}取消{/}
UI_20150317_000110	{@st59}取消保存{/}
UI_20150317_000111	{@st42}聊天設定
UI_20150317_000112	{@st42}透明度
UI_20150317_000113	聊天氣泡
UI_20150317_000114	在螢幕頂部顯示喇叭
UI_20150317_000115	{@st43}黑名單{/}
UI_20150317_000116	{memo X}{@st42b}Item{/}
UI_20150317_000117	{memo X}{@st42b}Monster{/}
UI_20150317_000118	{memo X}{@st42b}Move map{/}
UI_20150317_000119	{memo X}{@st42b}Combat Order{/}
UI_20150317_000120	{@st41b}關閉{/}
UI_20150317_000121	{s16}{b}雙擊或點擊建立按鈕可以生成道具。
UI_20150317_000122	{memo X}{s16}{b}ea
UI_20150317_000123	{memo X}{s16}{b}Lv.
UI_20150317_000124	{@st41b}搜尋{/}
UI_20150317_000125	{s16}{b}雙擊或點擊建立按鈕可召喚魔物。
UI_20150317_000126	{memo X}{s16}{b}ea
UI_20150317_000127	{s16}{b}選擇想要設置的區域。
UI_20150317_000128	{s18}{b}顯示小地圖{/}
UI_20150317_000129	{@st41b}工具列表{/}
UI_20150317_000130	{@st59b}收藏品 {nl}{@st59s}- 取得收藏品套組就將收集的道具納入收藏。 {nl} - 收藏品套組可以透過快捷鍵啟動。{nl} {/}
UI_20150317_000131	{@st59}關閉收集欄/}
UI_20150317_000132	{@st43}收藏品{/}
UI_20150317_000133	{@st43}彩色噴漆{/}
UI_20150317_000134	{@st49}彩色噴漆{/}
UI_20150317_000135	{@st49}顏色{/} 
UI_20150317_000136	{@st49}剩餘量{/}
UI_20150317_000137	{@st49}筆刷{/}
UI_20150317_000138	{@st49}{a END_EDIT_SPRAY}繪畫{/}{/}
UI_20150317_000139	{@st49}{a SAVE_EDIT_SPRAY}保存{/}{/}
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}匯入存檔{/}{/}
UI_20150317_000141	{@st49}關閉{/}
UI_20150317_000142	{@st43} 雇用同伴
UI_20150317_000143	{@st59} 請輸入新雇用的同伴名字{/}
UI_20150317_000144	{@st41b}名字{/}
UI_20150317_000145	{@st41b}價格 %s{/}
UI_20150317_000146	{@st59}關閉雇用同伴視窗 {/}
UI_20150317_000147	{@st41b}雇用
UI_20150317_000148	{@st59}選擇雇用的同伴{/}
UI_20150317_000149	{@st43}同伴商店
UI_20150317_000150	{@st59}關閉同伴商店{/}
UI_20150317_000151	{@st43}其他角色資訊{/}{@st42}
UI_20150317_000152	{@st59}關閉角色資訊視窗{/}
UI_20150317_000153	{@st41b}資訊
UI_20150317_000154	{@st41b}記錄
UI_20150317_000155	隊伍名稱
UI_20150317_000156	角色名稱
UI_20150317_000157	{#ffff00}%s{/}階 %s 等級 {#ffff00}%s{/}
UI_20150317_000158	戰士
UI_20150317_000159	{memo X}Adventure Index {#ffff00}%s{/} (Rank{#ffff00}%s{/}/%s)
UI_20150317_000160	冒險指數 {#ffff00}%s{/} ({#ffff00}未排名{/})
UI_20150317_000161	已完成成就：{#ffff00}%s{/}個
UI_20150317_000162	設定
UI_20150317_000163	Clear the tab title to delete the tab.
UI_20150317_000164	{@st49}全部{/}
UI_20150317_000165	{@st49}系統{/}
UI_20150317_000166	{@st49}對話{/}
UI_20150317_000167	{@st49}戰鬥{/}
UI_20150317_000168	{@st49}道具{/}
UI_20150317_000169	{@st43}積分{/}
UI_20150317_000170	{memo X}{@st43}Lock Target settings {/}
UI_20150317_000171	NPC 名稱
UI_20150317_000172	比較
UI_20150317_000173	插畫
UI_20150317_000174	選擇對話
UI_20150317_000175	幫助
UI_20150317_000176	{@st41}道具製作{/}
UI_20150317_000177	{@st45tw2}道具製作中...
UI_20150317_000178	%r 秒
UI_20150317_000179	{@st41}取消{/}
UI_20150317_000180	{@st45tw2}數量{/}
UI_20150317_000181	{@st45tw2}要製作道具嗎？
UI_20150317_000182	{@st41}確定{/}
UI_20150317_000183	任務資訊
UI_20150317_000184	{@st59}取消交易{/}
UI_20150317_000185	{@st43}個人交易{/}
UI_20150317_000186	我的交易清單
UI_20150317_000187	銀幣：%s
UI_20150317_000188	{memo X}Enter
UI_20150317_000189	{@st41}接受
UI_20150317_000190	{@st41}最終確認
UI_20150317_000191	對方的(%s) 交易清單
UI_20150317_000192	對方的名字
UI_20150317_000193	{s18}{ol} {gr gradation1}區域活動{/}
UI_20150317_000194	{s20}{ol}[活動] 擊退 瓦布族！要參加活動嗎？
UI_20150317_000195	{s20}{ol}%s 要參加活動嗎？
UI_20150317_000196	{s20}{ol}參加人數：(1/5)
UI_20150317_000197	{s20}{ol}參加人數：：(%s/%s)
UI_20150317_000198	{s20}{ol}1秒後開始遊戲。
UI_20150317_000199	{s20}{ol}%s秒後開始遊戲。
UI_20150317_000200	今日內不顯示。
UI_20150317_000201	不顯示區域活動。
UI_20150317_000202	加入遊戲
UI_20150317_000203	與其他玩家一同開始遊戲。
UI_20150317_000204	不加入遊戲。
UI_20150317_000205	預設噴霧
UI_20150317_000206	{@st49}選擇{/}
UI_20150317_000207	{@st49}取消{/}
UI_20150317_000208	{@st49}刪除{/}
UI_20150317_000209	請輸入想保存的檔名。
UI_20150317_000210	{@st43}好友列表
UI_20150317_000211	{@st59}關閉好友列表{/}
UI_20150317_000212	{@st59b}好友列表{nl}{@st59s} - 在遊戲中與其他玩家成為好友。{nl} - 你可以在列表標籤裡確認好友狀態。{nl} - 你可以在【管理】分頁中 邀請、拒絕、黑名單你的好友。 {/}
UI_20150317_000213	{@st41b}線上好友{/}
UI_20150317_000214	{@st41b}列表
UI_20150317_000215	{@st41b}管理
UI_20150317_000216	{@st41b}新增好友
UI_20150317_000217	{@st41b}黑名單
UI_20150317_000218	{@st59}搜尋{/}
UI_20150317_000219	{@st44}公會{/}
UI_20150317_000220	公會
UI_20150317_000221	列表
UI_20150317_000222	新聞
UI_20150317_000223	公會任務
UI_20150317_000224	線上成員數
UI_20150317_000225	{@st44}建立公會{/}
UI_20150317_000226	{@st42}建立{/}
UI_20150317_000227	{@st42}關閉{/}
UI_20150317_000228	{@st42}全體{/}
UI_20150317_000229	{@st42}本日排名{/}
UI_20150317_000230	{@st42}本周排名{/}
UI_20150317_000231	{@st56}排名{/}
UI_20150317_000232	{@st56}分數{/}
UI_20150317_000233	{@st56}職業{/}
UI_20150317_000234	{@st56}名字{/}
UI_20150317_000235	上一頁
UI_20150317_000236	下一頁
UI_20150317_000237	{@st42}搜尋ID{/}
UI_20150317_000238	輸入ID搜尋
UI_20150317_000239	關閉名人堂
UI_20150317_000240	輸入ID搜尋
UI_20150317_000241	{memo X}{@st59} Stamina {/}
UI_20150317_000242	{@st43}說明列表{/}
UI_20150317_000243	{@st59}關閉說明列表{/}
UI_20150317_000244	{@st59b}說明列表{nl}{@st59s} - 如果你需要幫助，你隨時都可以來這裡閱讀說明主題。{nl} - 選擇主題來閱讀詳細內容。{/}
UI_20150317_000245	{@st43}{s22}說明{/}
UI_20150317_000246	{@st47_b}{b}說明主題{/}
UI_20150317_000247	{@st42b}簡單的說明內容{/}
UI_20150317_000248	{@st59}詳細內容{/}
UI_20150317_000249	請輸入數量
UI_20150317_000250	{@st59}輸入數量{/}
UI_20150317_000251	{@st41b}確認
UI_20150317_000252	{@st59}確認編輯{/}
UI_20150317_000253	{@st41b}關閉
UI_20150317_000254	{@st59}取消編輯{/}
UI_20150317_000255	{@st43}傳送{/}
UI_20150317_000256	{@st59}關閉傳送視窗{/}
UI_20150317_000257	{@st59b}傳送{nl}{@st59s} - 可以讓你快速旅行至你已經拜訪過的區域。{nl} - 只要啟用兩個或以上數量的傳送點，就能使用傳送功能。{nl} {/}
UI_20150317_000258	{@st41}目前位置：%s{/}
UI_20150317_000259	{@st43}{s22}傳送{/}
UI_20150317_000260	{@st41b}你想要移動到這個區域？{/}
UI_20150317_000261	希奧利艾 這地方怎麼樣
UI_20150317_000262	Coin 消耗：0
UI_20150317_000263	簡介
UI_20150317_000264	{@st43}背包{/}
UI_20150317_000265	{@st59}關閉背包{/}
UI_20150317_000266	{memo X}{@st59b}Equipment {nl} {@st59s}- Hairstyle/Costume: Equipment to change a characters appearance. {nl} - Weapon: Can equip one-handed or two-handed weapons {nl} (sub-weapon/shield can be equipped with a one-handed weapon) {nl} - Armor: Top, Pants, Gloves, Shoes. {nl} - Accessories: Can equip 1 Necklace and 2 Bracelets. {nl} {/}
UI_20150317_000267	{@st59}頭飾 1{/}
UI_20150317_000268	{@st59}頭飾 2{/}
UI_20150317_000269	{@st59}項鍊{/}
UI_20150317_000270	{@st59}服裝{/}
UI_20150317_000271	{@st59}上衣{/}
UI_20150317_000272	{@st59}手套{/}
UI_20150317_000273	{@st59}下裝{/}
UI_20150317_000274	{@st59}鞋子{/}
UI_20150317_000275	{@st59}左手{/}
UI_20150317_000276	{@st59}右手{/}
UI_20150317_000277	{@st59}手鐲 1{/}
UI_20150317_000278	{@st59}手鐲 2{/}
UI_20150317_000279	{@st59}臂章{/}
UI_20150317_000280	{@st59}搜尋{/}
UI_20150317_000281	負重
UI_20150317_000282	{memo X}{@st43}Equipment Buff{/}
UI_20150317_000283	{@st59}關閉修理介面{/}
UI_20150317_000284	{memo X}{@st42}Available for Buff
UI_20150317_000285	{memo X}{@st42}Consume{/}
UI_20150317_000286	{memo X}{@st42}Run
UI_20150317_000287	{memo X}{@st42}Target Item{/}
UI_20150317_000288	{@st59}戒指 1{/}
UI_20150317_000289	{@st43}道具製作{/}
UI_20150317_000290	{@st42b}只顯示可製作的物品{/}
UI_20150317_000291	{@st59}關閉道具製作{/}
UI_20150317_000292	{@st43}{s22}分離道具數量
UI_20150317_000293	{@st59}請輸入數量{/}
UI_20150317_000294	魔物血量條
UI_20150317_000295	{@st44}獲得道具組{/}
UI_20150317_000296	鍵盤戰士
UI_20150317_000297	擊殺數
UI_20150317_000298	99分 99秒
UI_20150317_000299	38000 點
UI_20150317_000300	加速藥水
UI_20150317_000301	{@st41}確認{/}
UI_20150317_000302	{@st59b}冒險日誌{nl}{@st59s} - 記錄你的冒險歷程{nl} - 取得道具, 擊殺魔物, 製作, 探索地圖, 根據內容完成度而獲得的冒險指數{nl}    冒險指數：所有指數的總和{nl}   成長：每個等級與職業等級各獲得5點{nl}    道具： 裝備：等級X10點；書籍：10點；其他：1點{nl}    魔物：每個魔物10點 (Boss : 50點){nl}    探索地區：每10%獲得1點{nl}    任務：每個任務1點{nl}    成就：各成就不同{nl}    製作 : 10點{nl}    收藏：套組5點；完成收藏45點{nl} - 根據獲得的冒險指數可在城裡的NPC處獲得特殊報酬{/}
UI_20150317_000303	{@sti7}{s22}{ds}       冒險指數{/}
UI_20150317_000304	{@st42b}{#22FF22} 前 10% / %s 點{/}
UI_20150317_000305	{@st42b} 整體平均 / %s 點 {/}
UI_20150317_000306	第 1 名 / %s 點
UI_20150317_000307	第 %s 名
UI_20150317_000308	%s 點
UI_20150317_000309	專業
UI_20150317_000310	隊伍
UI_20150317_000311	{@st59}關閉冒險日誌{/}
UI_20150317_000312	{@st43}冒險排行榜{/}
UI_20150317_000313	{@st43}{s22}排名   
UI_20150317_000314	{@st43}{s22}名字
UI_20150317_000315	{@st43}{s22}積分
UI_20150317_000316	{@st41}詳細內容{/}
UI_20150317_000317	{@st43}開始製作{/}
UI_20150317_000318	{@st59}開始製作道具。{/}
UI_20150317_000319	{@st44}鍵盤{/}
UI_20150317_000320	{@st42}時間限制
UI_20150317_000321	{@st56}擊殺{/}
UI_20150317_000322	{@st56}Overkill{/}
UI_20150317_000323	{@st56}擊中{/}
UI_20150317_000324	{@st56}死亡{/}
UI_20150317_000325	魔法強度
UI_20150317_000326	防禦力
UI_20150317_000327	魔法抗性
UI_20150317_000328	暴擊率
UI_20150317_000329	${@st43}插槽管理{/}
UI_20150317_000330	{@st59}關閉插槽管理{/}
UI_20150317_000331	道具查詢
UI_20150317_000332	潛力點
UI_20150317_000333	{memo X}Additional socket cost : {#ff9933}%s{/}{nl}Gem extraction cost : {#ff9933}%s{/}
UI_20150317_000334	{@st41b}增加插槽
UI_20150317_000335	{@st41b}拔除寶石	
UI_20150317_000336	{@st41}製作{/}
UI_20150317_000337	{@st41}%s %s 個
UI_20150317_000338	區域地圖
UI_20150317_000339	{memo X}Area Explored : 95.5%
UI_20150317_000340	{memo X}{@st45tw}Area Explored %s% {/}
UI_20150317_000341	{@st59}關閉地圖 (M){/}
UI_20150317_000342	{@st41}地圖{/}
UI_20150317_000343	Shift(clear), Ctrl(mid fill)
UI_20150317_000344	{ol}標題
UI_20150317_000345	{@st41}新增{/}
UI_20150317_000346	{@st41}刪除{/}
UI_20150317_000347	{@st41}儲存{/}
UI_20150317_000348	{@st41}自動{/}
UI_20150317_000349	{@st41}初始化{/}
UI_20150317_000350	{@st59}設定數量。{/}
UI_20150317_000351	{ol}組
UI_20150317_000352	{ol}信箱
UI_20150317_000353	{ol}聲音
UI_20150317_000354	{@st41}建立小地圖{/}
UI_20150317_000355	{@st55}區域地圖
UI_20150317_000356	{@st43}{s22}拍賣場{/}
UI_20150317_000357	{@st43}{s24}拍賣場{/}
UI_20150317_000358	{@st42b}目錄{/}
UI_20150317_000359	{@st42b}種類{/}
UI_20150317_000360	{@st42b}所需等級{/}
UI_20150317_000361	{@st42b}強化等級{/}
UI_20150317_000362	{@st42b}名字
UI_20150317_000363	{@st41b}領取道具%s
UI_20150317_000364	{@st41b}賣出物品
UI_20150317_000365	{@st41b}搜尋
UI_20150317_000366	{@st59}關閉拍賣場選單{/}
UI_20150317_000367	{@st42b}排序
UI_20150317_000368	{@st41b}買入物品
UI_20150317_000369	{@st43}{s22}接收道具
UI_20150317_000370	{@st41b}全部領取
UI_20150317_000371	{@st41b}領取道具
UI_20150317_000372	{@st43}{s22}販賣
UI_20150317_000373	{@st42b}數量
UI_20150317_000374	{@st42b}價格
UI_20150317_000375	{@st42b}隱藏賣家名字{/}
UI_20150317_000376	{@st41b}註冊
UI_20150317_000377	攻城硬幣
UI_20150317_000378	某人殺了某人
UI_20150317_000379	{@st43}迷你遊戲{/}
UI_20150317_000380	{@st49}發射攻城器{/}
UI_20150317_000381	{@st44}控制方向{/}
UI_20150317_000382	{@st44}射擊{/}
UI_20150317_000383	迷你遊戲
UI_20150317_000384	{s18}{ol}{gr gradation1}捉迷藏小遊戲{/}
UI_20150317_000385	{s16}要參加迷你遊戲嗎？
UI_20150317_000386	{s16}參加人數：(0/5)
UI_20150317_000387	{s16}參加人數：(%s /%s)
UI_20150317_000388	{s16}1秒後開始遊戲。
UI_20150317_000389	{s16}%s秒後開始遊戲。
UI_20150317_000390	{@st59}放大{/}
UI_20150317_000391	{@st59}縮小{/}
UI_20150317_000392	{@st59}顯示地圖 (M){/}
UI_20150317_000393	{@st42b}區域地圖
UI_20150317_000394	{@st44}物品合成{/}
UI_20150317_000395	{s16}{#FFcc66}{ol}請選擇你想製作的物品{/}{/}
UI_20150317_000396	{s16}{#FFcc66}{ol}把配方拉進欄位
UI_20150317_000397	{@st42}製作{/}
UI_20150317_000398	{@st42}取消{/}
UI_20150317_000399	%s 資訊
UI_20150317_000400	凱帕或...
UI_20150317_000401	{@st41}{詳細內容}
UI_20150317_000402	{s20}{#050505}魔物 說明內容 魔物 說明內容 魔物 說明內容 魔物 說明內容
UI_20150317_000403	{@st41} 擊殺 {/}
UI_20150317_000404	{@st41} Overkill {/}
UI_20150317_000405	{@st41} 一般擊殺 {/}
UI_20150317_000406	{@st41} 地區 {/}
UI_20150317_000407	{@st41} 物品 {/}
UI_20150317_000408	{@st41} 成就 {/}
UI_20150317_000409	物件
UI_20150317_000410	{@st43}死靈之書{/}
UI_20150317_000411	{@st59}關閉死靈之書介面{/}
UI_20150317_000412	{memo X}{@st59}I am too lazy to think.{/}
UI_20150317_000413	召喚：{#ffcc33}%s{/}
UI_20150317_000414	{memo X}Undead Harpy
UI_20150317_000415	{memo X}Skill : %s
UI_20150317_000416	{memo X}Skill 1, Skill 2
UI_20150317_000417	{memo X}Fragments needed : %s
UI_20150317_000418	{memo X}Beast 60 / Insect 20/ Mutant 10
UI_20150317_000419	碎片數量
UI_20150317_000420	{memo X}Parts 1
UI_20150317_000421	{memo X}Parts 2
UI_20150317_000422	{memo X}Parts 3
UI_20150317_000423	太好了！你的等級提升了。
UI_20150317_000424	道具警報
UI_20150317_000425	{@st64}詳細內容{/}
UI_20150317_000426	操作教學
UI_20150317_000427	${@st42b}角色上下左右四個方向移動{/}
UI_20150317_000428	${@st42b}角色基本攻擊{/}
UI_20150317_000429	${@st42b}角色的位置移動或跳躍{/}
UI_20150317_000430	{@st42b}相鄰的兩個方向鍵同時按住可以斜角移動{/}
UI_20150317_000431	迷霧地圖工具
UI_20150317_000432	殺戮魔物工具
UI_20150317_000433	小地圖製作工具
UI_20150317_000434	對話工具
UI_20150317_000435	{@st43}GM 設定{/}
UI_20150317_000436	{@st59}關閉隊伍資訊{/}
UI_20150317_000437	{@st59b}隊伍資訊{nl}{@st59s} - 若要成立隊伍，請點擊下方的「建立隊伍」按鈕。 {nl} - 對其他玩家按右鍵就能發送組隊邀請。{nl} - 可以在設定分頁中調整隊伍設定。{nl} - 可以在公開隊伍列表中搜尋符合條件的隊友。{/}
UI_20150317_000438	{@st43}隊伍資訊{/}
UI_20150317_000439	{@st41b}隊伍成員{/}
UI_20150317_000440	{@st41b}組隊任務{/}
UI_20150317_000441	{@st41b}設定{/}
UI_20150317_000442	{memo X}{@st41}Members{/}
UI_20150317_000443	{memo X}{@st41}Conditions for joining party
UI_20150317_000444	{memo X}{@st41b}Public
UI_20150317_000445	{memo X}{@st41b}Private
UI_20150317_000446	{memo X}Required Level ~
UI_20150317_000447	{memo X}{@st41}Item Priority
UI_20150317_000448	{memo X}{@st41b}Individual Loot
UI_20150317_000449	{memo X}{@st41b}Round Robin
UI_20150317_000450	{memo X}{@st41b}Random
UI_20150317_000451	{memo X}{@st41}EXP Priority
UI_20150317_000452	{memo X}{@st41b}Individual EXP
UI_20150317_000453	{memo X}{@st41b}Equal EXP
UI_20150317_000454	{memo X}{@st41b}By Level
UI_20150317_000455	{memo X}{@st41}Quest Sharing
UI_20150317_000456	{memo X}{@st41b}Enabled
UI_20150317_000457	{memo X}{@st41b}Disabled
UI_20150317_000458	{@st41b}建立組隊
UI_20150317_000459	{@st43}公開隊伍列表{/}
UI_20150317_000460	{@st59b}公開組隊列表{nl}{@st59s} - 搜尋你想加入的隊伍。{nl} - 使用條件搜尋來搜尋符合條件的隊伍。{/}
UI_20150317_000461	{@st59}關閉公開組隊列表{/}
UI_20150317_000462	條件搜尋
UI_20150317_000463	任務分享
UI_20150317_000464	經驗分配規則
UI_20150317_000465	道具分配規則
UI_20150317_000466	{@st43}邀請
UI_20150317_000467	{@st41b}邀請{/}
UI_20150317_000468	{memo X}{s18}{ol}{gr gradation1}Logout PC rules{/}
UI_20150317_000469	{ol}條件應用規則
UI_20150317_000470	{ol}動作應用規則
UI_20150317_000471	輸入規則名稱
UI_20150317_000472	{Gr gradation1}註冊{/}
UI_20150317_000473	註冊規則
UI_20150317_000474	{Gr gradation1}取消{/}
UI_20150317_000475	取消操作	
UI_20150317_000476	{@st43}同伴資訊
UI_20150317_000477	{@st59b}同伴資訊{nl}{@st59s} - 可以用下面的按鈕將同伴設定為活動模式或休息模式。{nl} - 可以自訂同伴的特性與裝備。{/}
UI_20150317_000478	{@st59}關閉同伴資訊{/}
UI_20150317_000479	{memo X}{@st41b}Name : {@sti9}%s{/}
UI_20150317_000480	{memo X}{@sti9}%s{@st41b}Closeness : {@sti9}%s {@st41b}Level{/}
UI_20150317_000481	{memo X}{@st41b}EXP{/}
UI_20150317_000482	{memo X}{@st41b}Stamina{/}
UI_20150317_000483	{memo X}{@st41b}Closeness{/}
UI_20150317_000484	{memo X}{@st41b}Attributes and Information
UI_20150317_000485	{@st43}同伴列表{/}
UI_20150317_000486	{@st59b}同伴列表{nl}{@st59s} - 在列表中點擊同伴檢查詳細內容。{/}
UI_20150317_000487	{@st59}關閉同伴列表{/}
UI_20150317_000488	{@st59}關閉說明視窗{/}
UI_20150317_000489	{@st59}說明{nl} - 閱讀詳細的遊戲資訊及提示。{nl} - 從說明列表中閱讀其他主題{/}
UI_20150317_000490	{@st43}說明{/}
UI_20150317_000491	說明主題
UI_20150317_000492	{ol}{#AAAA00}{s16}處理時間：%s
UI_20150317_000493	{@st43}毒鍋{/}
UI_20150317_000494	{@st59}關閉毒鍋介面{/}
UI_20150317_000495	{@st59}Need to write{/}
UI_20150317_000496	{memo X}The amount of poison: %s
UI_20150317_000497	{memo X}Items that can be used to Craft poison
UI_20150317_000498	{memo X}Select All
UI_20150317_000499	再點一次取消全選
UI_20150317_000500	{memo X}Crafting
UI_20150317_000501	{memo X}shuffle shuffle mix and shuffle
UI_20150317_000502	{@st43}分類{/}
UI_20150317_000503	{@st43}我{/}
UI_20150317_000504	{@st43}對象{/}
UI_20150317_000505	{@st43}等級{/}
UI_20150317_000506	{@st43}資金{/}
UI_20150317_000507	{@st43}等級{/}
UI_20150317_000508	{@st43}PvP勝率{/}
UI_20150317_000509	{@st59}關閉{/}
UI_20150317_000510	{@sti5}總購買金額：%s{/}
UI_20150317_000511	{@sti5}總金額：%s{/}
UI_20150317_000512	{@st41b}購買
UI_20150317_000513	{memo X}{@st43}Gained materials for a craftable item!
UI_20150317_000514	{@st43}傑作{/}
UI_20150317_000515	{@st41}全部刪除
UI_20150317_000516	{memo X}{@st42}Pension object {@stx1}(%s required){/}
UI_20150317_000517	{@st41}組合
UI_20150317_000518	{@st43}任務{/}
UI_20150317_000519	${@st59b}任務{nl}{@st59s} - 當你收到新的任務，任務就會顯示在任務追蹤列表。{nl} - 黃色是主線任務, 藍色是支線任務。{nl} - 在角色腳邊會有指標指引你找到任務地點。{nl} - 如果你已經完成任務，「返回」圖示會顯示在你的任務追蹤列表。{nl}    (用退位鍵或滑鼠左鍵就能將你傳回任務NPC身邊) {nl} - 可以在任務名稱前面的方框中打勾或取消打勾，來決定要不要顯示在任務追蹤列表。{/}
UI_20150317_000520	{@st41b}進行中{/}
UI_20150317_000521	{@st41b}已放棄{/}
UI_20150317_000522	${@st43}{s22}任務資訊{/}
UI_20150317_000523	任務完成
