ITEM_20150317_000001	空_頭盔 
ITEM_20150317_000134	通常由高階戰士攜帶. 
ITEM_20150317_000135	高加索直劍 
ITEM_20150317_000136	與它的外表相反, 追求實用性的劍客經常使用這把雙刃劍. 
ITEM_20150317_000137	輕型重劍 
ITEM_20150317_000138	這把劍的結構可以讓使用者有效地進行刺擊. 
ITEM_20150317_000139	粗糙巨劍 
ITEM_20150317_000140	古巴劍 
ITEM_20150317_000141	偉大的Ruklyss最初就是用的這把劍. 
ITEM_20150317_000142	練習用巨劍 
ITEM_20150317_000143	混種大劍 
ITEM_20150317_000144	重型焰形巨劍 
ITEM_20150317_000145	重型野太刀 
ITEM_20150317_000146	重型雙刃闊劍 
ITEM_20150317_000147	Dunkel 野太刀 
ITEM_20150317_000148	Dunkel 高加索直劍 
ITEM_20150317_000149	Dunkel 焰形巨劍 
ITEM_20150317_000150	Dunkel 雙手闊劍 
ITEM_20150317_000151	大劍 
ITEM_20150317_000152	德式鬥劍 
ITEM_20150317_000153	禮儀配劍 
ITEM_20150317_000154	德式雙手劍 
ITEM_20150317_000155	斬首者 
ITEM_20150317_000156	魯麥雙手劍 
ITEM_20150317_000157	刮刀 
ITEM_20150317_000158	波坦西亞
ITEM_20150317_000159	不滿足於一般的焰形巨劍的話, 這會是更好的選擇. 
ITEM_20150317_000160	坦蘇斯焰形大劍 
ITEM_20150317_000161	一把具有改善你的天生能力的劍, 試著提升自己的潛能吧. 
ITEM_20150317_000162	迪德爾巨劍(Didel) 
ITEM_20150317_000163	這把劍是對於那些追求更重、更高殺傷及更廣範圍斬擊的人們所尋求. 
ITEM_20150317_000164	藏品劍 
ITEM_20150317_000165	巨型植物災變後, 這種之前廣泛使用的劍被當做裝飾品或收藏品. 
ITEM_20150317_000166	Hogma大劍 
ITEM_20150317_000167	人們對Hogmas如何獲得這種劍不在意.更關心自己製造和使用它們. 
ITEM_20150317_000168	查米尼斯變種劍 
ITEM_20150317_000169	巨型植物災變後, Winterspoon家族將圖譜送給了煉金術師. 
ITEM_20150317_000170	普萊姆絲巨劍 
ITEM_20150317_000171	尋求原始力量的劍客經常將這把劍作為第一魔法劍. 
ITEM_20150317_000172	康牙利匕首 
ITEM_20150317_000173	人們喜歡鍛造這把劍為自己使用. 
ITEM_20150317_000174	軸心雙手劍 
ITEM_20150317_000175	如果你通過黑市拿到這把劍, 那麼你已經累積一定程度的信任了. 
ITEM_20150317_000176	普利布蘭達巨劍 
ITEM_20150317_000177	與普萊姆絲巨劍為同一生產者. 
ITEM_20150317_000178	青金石德式鬥劍 
ITEM_20150317_000179	德式鬥劍加強的歷史不到100年, 所以這把武器與Ruklyss無關. 
ITEM_20150317_000180	鐵匠雙手劍 
ITEM_20150317_000181	自聖樹之日起, 很少人質疑魔法武器的穩定性. 
ITEM_20150317_000182	克萊維斯雙手劍 
ITEM_20150317_000183	這把劍的可靠簡直可以說是你雙手的延伸. 
ITEM_20150317_000184	多重 雙手劍 
ITEM_20150317_000185	賽絲托 雙手劍 
ITEM_20150317_000186	Dratt雙手劍 
ITEM_20150317_000187	亞斯頓 雙手劍 
ITEM_20150317_000188	女神雙手劍 
ITEM_20150317_000189	初級雙手劍 
ITEM_20150317_000190	弗拉米尼 
ITEM_20150317_000191	一直以來被認為是對戰惡魔的好劍. 
ITEM_20150317_000192	巫師殺手 
ITEM_20150317_000193	初出茅廬的巫師不在意這個特殊武器, 但經驗豐富的人知道避開這令人無法揣摩的力量. 
ITEM_20150317_000194	雙手劍[打擊] 
ITEM_20150317_000195	無法預見地打擊目標, 就如夜空中的一閃. 
ITEM_20150317_000196	露西杜斯 
ITEM_20150317_000197	Although some people dismiss this weapon as a 'tree cutting axe', its actual users will tell you that the Great Plant Cataclysm would have resulted in far worse losses without it. 
ITEM_20150317_000198	地獄與天堂 
ITEM_20150317_000199	這把武器印證了"進攻是最好的防禦"這句話. 
ITEM_20150317_000200	亡者之牙 
ITEM_20150317_000201	鍛造這把武器並不需要死者之牙. 
ITEM_20150317_000202	幻影魔雙手劍 
ITEM_20150317_000203	時而巨象, 時而縹緲. 
ITEM_20150317_000204	紐萊斯 
ITEM_20150317_000205	對抗夜間的怪異生物有奇效. 
ITEM_20150317_000206	重力(Gravity) 
ITEM_20150317_000207	無論何時何地, 都沒人可以掙脫重力的束縛, 但要是有人適應了它, 那麼再也沒人可以低估它的力量. 
ITEM_20150317_000208	粗糙的魔棒 
ITEM_20150317_000209	魔棒 [打擊] 
ITEM_20150317_000210	給遲早要規劃學習魔法的人. 
ITEM_20150317_000211	短魔杖 
ITEM_20150317_000212	當年輕的魔法學徒畢業時贈予的武器. 
ITEM_20150317_000213	初級長棒 
ITEM_20150317_000214	魔導師在武器上的裝飾品不僅美觀而且功能強大. 
ITEM_20150317_000215	初級漫遊手杖 
ITEM_20150317_000216	由一名著名巫師精心雕刻的魔杖, 它註定具有神秘的魔力. 
ITEM_20150317_000217	手杖 
ITEM_20150317_000218	只要有材料就能訂做這把手杖. 
ITEM_20150317_000219	克魯克彎鉤(Crook) 
ITEM_20150317_000220	傳說中邪惡的巫師一開始就是使用的這種武器. 
ITEM_20150317_000221	錫製魔杖 
ITEM_20150317_000222	它一度在雄心勃勃的年輕法師間深受喜愛. 
ITEM_20150317_000223	貓頭鷹魔杖 
ITEM_20150317_000224	武器上的裝飾品很受資深巫師的喜愛. 
ITEM_20150317_000225	符文魔杖 
ITEM_20150317_000226	一種神奇的服符文放大了武器的魔力. 
ITEM_20150317_000227	水晶棒 
ITEM_20150317_000228	珍貴的寶石和魔杖完美結合. 
ITEM_20150317_000229	粗糙的錫棒 
ITEM_20150317_000230	粗糙的梟棒 
ITEM_20150317_000231	軍用魔棒 
ITEM_20150317_000232	這把魔杖是為軍中法師們準備的.雖然在聖樹之日中遺失了配方, 但是存貨依然充足. 
ITEM_20150317_000233	酋長的魔杖 
ITEM_20150317_000234	這把魔杖款式曾流行過.雖然是老舊的款式, 但依舊優雅得體. 
ITEM_20150317_000235	粗糙的漫遊手杖 
ITEM_20150317_000236	戰鬥魔杖 
ITEM_20150317_000237	除了為施法打造, 它也被設計了物理打擊能力. 
ITEM_20150317_000238	重型魔棒 
ITEM_20150317_000239	長棒 
ITEM_20150317_000240	重型長棒 
ITEM_20150317_000241	漫遊手杖 
ITEM_20150317_000242	重型手杖 
ITEM_20150317_000243	重型克魯克彎鉤(CRook) 
ITEM_20150317_000244	重型錫棒 
ITEM_20150317_000245	笨重克魯克彎鉤(Crook) 
ITEM_20150317_000246	笨重水晶棒 
ITEM_20150317_000247	Dunkel 長棒 
ITEM_20150317_000248	Dunkel 漫遊手杖 
ITEM_20150317_000249	Dunkel 手杖 
ITEM_20150317_000250	Dunkel 錫棒 
ITEM_20150317_000251	蛇紋魔杖 
ITEM_20150317_000252	變種魔杖 
ITEM_20150317_000253	娜德魔杖(Nald) 
ITEM_20150317_000254	上古魔杖 
ITEM_20150317_000255	流星蝴蝶棒(隕石) 
ITEM_20150317_000256	環形魔杖 
ITEM_20150317_000257	侍者魔杖 
ITEM_20150317_000258	啞劇魔杖 
ITEM_20150317_000259	魔法師們已經意識到從植物災變引發的魔物爆發得到的資料應用到不同情況下. 
ITEM_20150317_000260	冰魔杖 
ITEM_20150317_000261	傳聞說每出售一張這把魔杖的圖紙, 寒冰術士大師就能得到分紅. 
ITEM_20150317_000262	火焰魔杖 
ITEM_20150317_000263	只有烈焰術士大師知道女神Gabija將力量注入這把武器的方法. 
ITEM_20150317_000264	瓦夏魔杖 
ITEM_20150317_000265	儘管祭司們不滿製造它的精神, 但巫師們並不在意這種事情. 
ITEM_20150317_000266	魔杖 
ITEM_20150317_000267	入門法師們易操作的簡單增魔武器. 
ITEM_20150317_000268	純潔 魔杖 
ITEM_20150317_000269	植物災變後暴增的惡魔太高了這把武器本來不菲的價格. 
ITEM_20150317_000270	克米奈斯魔杖 
ITEM_20150317_000271	儘管與另一把武器名字相近, 但這把武器與Winterspoon家族沒有直接關係. 
ITEM_20150317_000272	拱形魔杖 
ITEM_20150317_000273	它是法師領悟高階魔法的過渡武器. 
ITEM_20150317_000274	軸心魔杖 
ITEM_20150317_000275	這是巫師之間脫穎而出最受歡迎的魔杖. 
ITEM_20150317_000276	阿拉斯長魔杖 
ITEM_20150317_000277	這把價格合理的武器通常作為贈送的謝禮. 
ITEM_20150317_000278	鐵匠魔杖 
ITEM_20150317_000279	這把武器的特點就是無論誰用都難用. 
ITEM_20150317_000280	克萊維斯短杖(Klavis) 
ITEM_20150317_000281	你可能是歷史上第一個使用這把武器的法師. 
ITEM_20150317_000282	迪奧魔杖 
ITEM_20150317_000283	多重魔杖(Thresh) 
ITEM_20150317_000284	賽絲托魔杖(Sestas) 
ITEM_20150317_000285	卓瑞特之棒 
ITEM_20150317_000286	亞斯頓之棒 
ITEM_20150317_000287	女神魔杖(Devi) 
ITEM_20150317_000288	初級魔杖 
ITEM_20150317_000289	恐懼(Temere) 
ITEM_20150317_000290	傳說這把綽號"學徒殺手"的武器是歷史上最偉大巫師Agailla Flurry訓練她的學徒們時使用的. 
ITEM_20150317_000291	灼燒(Ignition) 
ITEM_20150317_000292	儘管炎術士全力尋找克服它不穩定缺點的方法, 但是目前並沒有什麼進展. 
ITEM_20150317_000293	禁忌(Secretum) 
ITEM_20150317_000294	為了巫師們所製作的專屬魔杖, 但巫師們經常忽略了它的缺陷. 
ITEM_20150317_000295	亡者之棒 
ITEM_20150317_000296	具有死者之力的魔杖. 
ITEM_20150317_000297	幻影魔杖 
ITEM_20150317_000298	災麻(Zaima) 
ITEM_20150317_000299	謠言說這把武器的高額價格是出於寒冰術士大師的壓力. 
ITEM_20150317_000300	史詩(Epos) 
ITEM_20150317_000301	遠古時使用頂尖魔法智慧鍛造的魔杖.但現在即使最先進的魔法也無法重鑄這把魔杖. 
ITEM_20150317_000302	閃耀魔杖 
ITEM_20150317_000303	你總能看到一顆閃爍的星星. 
ITEM_20150317_000304	Empty_weapon_TH弓 
ITEM_20150317_000305	粗糙的輕弓 
ITEM_20150317_000306	弓 [穿刺] 
ITEM_20150317_000307	在小作坊裡簡易製作的. 
ITEM_20150317_000308	輕弓 
ITEM_20150317_000309	帝國領土內廣泛製作的弓. 
ITEM_20150317_000310	初級短弓 
ITEM_20150317_000311	專們給初學者使用, 但老道的弓手也很喜歡繼續帶著它. 
ITEM_20150317_000312	粗糙的長弓 
ITEM_20150317_000313	距離決定生死.如果你想要更長的距離這把弓是不錯的選擇. 
ITEM_20150317_000314	複合弓 
ITEM_20150317_000315	用各種原料改善後極具靈活性的弓. 
ITEM_20150317_000316	隨身弓 
ITEM_20150317_000317	弓手堅定決心的象徵. 
ITEM_20150317_000318	羅戈斯 弓 
ITEM_20150317_000319	大概是其製造地命名的. 
ITEM_20150317_000320	角弓(Gorithos) 
ITEM_20150317_000321	弓騎兵的首選. 
ITEM_20150317_000322	古蕾雅 
ITEM_20150317_000323	第一把應用魔法的弓, 自此之後這把武器有了一席之地. 
ITEM_20150317_000324	卡爾曼弓(Karman) 
ITEM_20150317_000325	在對手臂力量充滿自信的弓手手裡發揮了更大的威力. 
ITEM_20150317_000326	粗糙的 羅戈斯 弓 
ITEM_20150317_000327	粗糙的角弓(Gorithos) 
ITEM_20150317_000328	軍用輕弓 
ITEM_20150317_000329	迎合軍隊最低要求的弓. 
ITEM_20150317_000330	市長短弓 
ITEM_20150317_000331	儘管這把武器年久, 但能看出每日更換弓弦使它保養得很好. 
ITEM_20150317_000332	粗糙的長弓 
ITEM_20150317_000333	金達瓦木弓 
ITEM_20150317_000334	不使用魔法而鍛造出的好弓. 
ITEM_20150317_000335	重型輕弓 
ITEM_20150317_000336	短弓 
ITEM_20150317_000337	重型短弓 
ITEM_20150317_000338	長弓 
ITEM_20150317_000339	重型複合弓 
ITEM_20150317_000340	重型隨身弓 
ITEM_20150317_000341	重型 羅戈斯 弓 
ITEM_20150317_000342	Dunkel 隨身弓 
ITEM_20150317_000343	Dunkel 卡爾曼弓 
ITEM_20150317_000344	Dunkel 短弓 
ITEM_20150317_000345	Dunkel 長弓 
ITEM_20150317_000346	Dunkel 複合弓 
ITEM_20150317_000347	Dunkel 羅戈斯 弓 
ITEM_20150317_000348	曲弓
ITEM_20150317_000349	攻城弓 
ITEM_20150317_000350	狙擊手之弓 
ITEM_20150317_000351	骨弓 
ITEM_20150317_000352	木質複合弓 
ITEM_20150317_000353	裝飾弓(Tag) 
ITEM_20150317_000354	欺詐之弓(流氓) 
ITEM_20150317_000355	探索者(Seeker) 
ITEM_20150317_000356	自巨植災變後這把在獵人間很流行. 
ITEM_20150317_000357	鐵弓 
ITEM_20150317_000358	良好的精度經常能造成意想不到的傷害. 
ITEM_20150317_000359	鷹弓(鷹) 
ITEM_20150317_000360	這把隨身弓有時真對不起它的價格. 
ITEM_20150317_000361	查米尼斯之弓(Cheminis) 
ITEM_20150317_000362	由能增強使用者的敏捷性而來. 
ITEM_20150317_000363	獵弓 
ITEM_20150317_000364	這把由煉金術師最近才掌握掌握的技術及理論所打造的弓. 
ITEM_20150317_000365	造物之弓(Maker) 
ITEM_20150317_000366	過去只有富有的獵人才買得起的弓.然而近年來發生的災變後, 誰還能承擔得起采購和鍛造它. 
ITEM_20150317_000367	蠻弓(Savage) 
ITEM_20150317_000368	由於巨植災變後對高質量弓需求的劇增, 這把弓被頻繁製作. 
ITEM_20150317_000369	蛇弓(Snake) 
ITEM_20150317_000370	這把弓的使用無關你的身體肌肉能力, 如果你擁有強悍的體魄那麼可以使射擊的威力更強悍, 如果沒有此弓也可以達到一定的威力. 
ITEM_20150317_000371	軸心弓 
ITEM_20150317_000372	弓如其名, 它與毒攻相關. 
ITEM_20150317_000373	萊迪娜弓 
ITEM_20150317_000374	這把弓堅實的重量會給你狩獵大怪物的感覺. 
ITEM_20150317_000375	強攻 
ITEM_20150317_000376	難製造, 但值得. 
ITEM_20150317_000377	阿拉斯短弓(Aras） 
ITEM_20150317_000378	第一次購買魔法弓的首選. 
ITEM_20150317_000379	滑弓(Pully) 
ITEM_20150317_000380	鐵匠之弓(Smith) 
ITEM_20150317_000381	如果沒有其他弓可以購買, 可以先買著這把弓再觀望. 
ITEM_20150317_000382	克萊維斯之弓(Klavis) 
ITEM_20150317_000383	除去常規魔法弓之用, 會有意料之外的作用. 
ITEM_20150317_000384	迪奧之弓(Dio) 
ITEM_20150317_000385	多重 弓 
ITEM_20150317_000386	賽絲托 弓 
ITEM_20150317_000387	卓瑞特之弓 
ITEM_20150317_000388	亞斯頓之弓(Aston) 
ITEM_20150317_000389	女神之弓(Devi) 
ITEM_20150317_000390	初級弓 
ITEM_20150317_000391	野蠻屠戮(Wildling Bane) 
ITEM_20150317_000392	獵人們在巨植災變之前很少使用它. 感覺很奇怪, 但這把弓會殘害獵物. 
ITEM_20150317_000393	平衡(Equalizer) 
ITEM_20150317_000394	自豪的弓手不希望任何變數影響它們的力量, 這把弓既是首選. 
ITEM_20150317_000395	獵心(Heart Seeker) 
ITEM_20150317_000396	這把弓會不明緣由地對目標和自身釋放詛咒.然而弓手們還是因其優點而使用它. 
ITEM_20150317_000397	毒蛇(Viper) 
ITEM_20150317_000398	這把弓太毒以致於會折磨它的使用者. 
ITEM_20150317_000399	亡者之弓 
ITEM_20150317_000400	帶他們去見死神. 
ITEM_20150317_000401	幻影魔弓 
ITEM_20150317_000402	如雕刻家所說: '站直挺胸;拉弓射箭.' 
ITEM_20150317_000403	嗜血(Blood Gain) 
ITEM_20150317_000404	這把弓由 Lydia Schaffen創造. 她一生經常使用此弓, 但卻沒有把鍛造方式告訴她自己創造的'The Tower of the Stars' 和 'Schaffenstar'造體. 
ITEM_20150317_000405	暴風槍(Tempest Shooter) 
ITEM_20150317_000406	聯合了眾多大師開發和鍛造的一把新弓.它是克服巨植災變的希望. 
ITEM_20150317_000407	Empty_weapon_弓 
ITEM_20150317_000408	低端的輕十字弓 
ITEM_20150317_000409	十字弓 [穿刺] 
ITEM_20150317_000410	強力攻擊時空出一隻手更實用. 
ITEM_20150317_000411	低端十字弓 
ITEM_20150317_000412	現代弩使用了許多不同材料, 主要是怪物噠. 
ITEM_20150317_000413	杜克友 
ITEM_20150317_000414	換箭重裝流暢並迅速的弓. 
ITEM_20150317_000415	菱型弓(Quarrel) 
ITEM_20150317_000416	菱型十字弓大師用它來教學. 
ITEM_20150317_000417	橡木十字弓 
ITEM_20150317_000418	雖然巨植災變之後橡木很難找, 但這把弓不難製作. 
ITEM_20150317_000419	封印十字弓 
ITEM_20150317_000420	可能由受到詛咒的怪獸骨頭為材料製作, 這把弓經常能打出封印效果. 
ITEM_20150317_000421	石弩 
ITEM_20150317_000422	有適應單人攻城武器研究的悠久歷史. 這把弓是巔峰時期的產物. 
ITEM_20150317_000423	自動十字弓(Cranequine) 
ITEM_20150317_000424	這把武器適合初學者.但老手能更好地從這把武器上獲利. 
ITEM_20150317_000425	粗糙的橡木十字弓 
ITEM_20150317_000426	粗糙的封印十字弓 
ITEM_20150317_000427	狙擊手之弩
ITEM_20150317_000428	一把強大的十字弓, 在刺客Evoniphon手裡出的名. 
ITEM_20150317_000429	輕型十字弓 
ITEM_20150317_000430	重輕型十字弓 
ITEM_20150317_000431	十字弓 
ITEM_20150317_000432	重型的 杜克友 
ITEM_20150317_000433	重型的 菱型弓 
ITEM_20150317_000434	重型的 橡木十字弓 
ITEM_20150317_000435	Dunkel 菱型弓 
ITEM_20150317_000436	Dunkel 自動十字弓 
ITEM_20150317_000437	Dunkel 十字弓 
ITEM_20150317_000438	Dunkel 杜克友 
ITEM_20150317_000439	Dunkel 橡木十字弓
ITEM_20150317_000440	勁弩(Arbalest) 
ITEM_20150317_000441	佩帝米安精弓
ITEM_20150317_000442	步槍 
ITEM_20150317_000443	黑尖弓 
ITEM_20150317_000444	尖十字弩(S長槍) 
ITEM_20150317_000445	風空(Windless) 
ITEM_20150317_000446	重型的 十字弓 
ITEM_20150317_000447	看似很重的弓, 拿起來使用就感到必須有個法術加持才如虎添翼. 
ITEM_20150317_000448	寬弓 
ITEM_20150317_000449	精確打擊會造成致命的殺傷. 
ITEM_20150317_000450	大十字弓 
ITEM_20150317_000451	高質量和低缺陷讓他在弓手間很受歡迎. 
ITEM_20150317_000452	查米妮斯十字弓(Cheminis) 
ITEM_20150317_000453	自巨植災變後這把煉金術師之弓需求量很大. 
ITEM_20150317_000454	梅迪娜弩(Medina) 
ITEM_20150317_000455	這把武器專門對付裝備精良的敵人. 
ITEM_20150317_000456	女王之弓(Regina) 
ITEM_20150317_000457	"上帝之弓"不夠格, 但 "女王"之名很恰當. 
ITEM_20150317_000458	驅逐者 
ITEM_20150317_000459	經常在低能見度和大風的天氣下使用. 
ITEM_20150317_000460	軸心十字弓 
ITEM_20150317_000461	謠言說這把弓就是故意打造成維護價格高的樣式. 
ITEM_20150317_000462	Grave 弩 
ITEM_20150317_000463	This weapon is recommended if you intend to permanently put the target to sleep. 
ITEM_20150317_000464	鐵匠十字弓 
ITEM_20150317_000465	每次扣動扳機都期望它能打出預想的傷害. 
ITEM_20150317_000466	克萊維斯十字弓(Klavis) 
ITEM_20150317_000467	你可能是第一個描繪出這把弓潛能的人. 
ITEM_20150317_000468	多重 弩 
ITEM_20150317_000469	賽絲托 弩 
ITEM_20150317_000470	卓瑞特之十字弓 
ITEM_20150317_000471	亞斯頓之十字弓(Aston) 
ITEM_20150317_000472	女神之十字弓(Devi) 
ITEM_20150317_000473	初級十字弓 
ITEM_20150317_000474	奔星 
ITEM_20150317_000475	只有在'星辰塔'完成試煉的人才能使用這把武器. 
ITEM_20150317_000476	卡延之怒(Katyn Blaster) 
ITEM_20150317_000477	巨植災變後導師根據卡延森林中的怪物研製了這把弓. 然而他不推薦人們使用它. 
ITEM_20150317_000478	月光之力(Grajus) 
ITEM_20150317_000479	用單手十字弓就能射殺巨獸麼？這把弓就是答案. 
ITEM_20150317_000480	亡者之弓 
ITEM_20150317_000481	並不是一把亡者的武器. 只是原主人是一位可憐的遇難者. 
ITEM_20150317_000482	幻影魔彈射手 
ITEM_20150317_000483	這把武器會給野獸足夠的痛苦. 
ITEM_20150317_000484	伊巴釐緹(Isbality) 
